field_key,field_title,reason,final_decision,severity
narrative,Narrative,,accept,0.0
information_text,New Salient Information provided by client/family:,,,
goals_text,Goal(s)/Objective(s) focused on in this session:,,,
interventions_text,Interventions provided and client/family response:,,,
therapeutic_text,Narrative Description,,,
progress_text, Description of progress/client response,,,
therapeutic_text,Narrative Description,,,
progress_text,Description of progress/client response,,,
info,Session Info,,,
description,Description,,accept,0.0
response,Response,,accept,0.0
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
info,Session Objective/Notes,,,
summary_contact,Summary of Contact,,accept,0.0
summary_text,"Summary: Goals, Objectives, Interventions Delivered & Consumer Response",,,
need,Need for or goal of intervention,,,
response,Response to Intervention,,,
sud_symptoms,Symptoms/Problems Status (incl. changes in Circumstances/Stressors),,,
sud_interventions,Clinical Intervention(s)/Client Response(s)/Progress toward Goal(s),,,
sud_plan,"Plan/Additional Information, if applicable?",,,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development?)",,,
response,"Describe the client's response to the intervention, progress made toward goals, and strengths. If progress is not being made, describe reasons and barriers to progress.",,,
lastservice,Plan from Last Service.,,,
presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:",,,
relevant_issues,Relevant Medical Issues,,,
explain_txt1,"Explain (Include dates, means, rescue)",,,
explain_txt2,"Explain (Include dates, means, rescue)",,,
explain_txt3,"Explain (Include dates, means, rescue)",,,
explain_txt4,"Explain (Include dates, means, rescue)",,,
substance_use,"Substance use concerns, relevant history and/or treatment.",,,
if_other2,"If ""Other"", please describe:",,,
if_other3,"If ""Other"", please describe:",,,
if_other4,"If ""Other"", please describe:",,,
observations,Observations,,accept,0.0
if_other5,"If ""Other"", please describe:",,,
if_other6,"If ""Other"", please describe:",,,
if_other7,"If ""Other"", please describe:",,,
summary_response,Summary/Response of Intervention/Services,,,
justification,Justification for the diversion or hospital recommendation:,,,
Mental_Status_textbox,,,,
Interventions_textbox,,,,
Progress_toward_goals_textbox,,,,
Action_plan_textbox,,,,
goal,"GOAL FOR THIS SERVICE: Indicate a specific, observable and/or measurable goal(s) related to the client’s mental health needs.",,,
narrative,"SESSION NARRATIVE: Indicate medically necessary service(s) provided. If client/collateral present, also indicate participant(s) response to service(s).",,,
indvpresent,INDIVIDUALS PRESENT/CONTACTED:,,,
clientprez,CLIENT PRESENTATION:,,,
servicegoal,GOAL FOR THIS SERVICE:,,,
functionalimpairments,FUNCTIONAL IMPAIRMENTS:,,,
response,RESPONSE:,,accept,0.0
first_began,"When you first began services, you were (describe symptoms, housing, medical needs, family/social situations, etc.)",,,
goals_progress,Here are your goals and the progress you've made and some gains you've achieved.,,,
details_services,Details and Services at other agencies.,,,
presenting_issue,Presenting Issue,,accept,0.0
additional_intervention,Additional Care Manager Intervention Provided During the Session,,,
response,Client response to interventions performed,,,
progress_towards_goal,Progress towards goals,,accept,0.0
additional_progress,Additional Progress towards goals to be addressed during the interim or at next session,,,
focus_of_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
interventions_provided,Describe the interventions provided.,,,
clients_response_to_intervention,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
document_plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,,,
desribe_reason_text,,,,
summary_intervention_text,,,,
summary_contact,Summary of Contact,,accept,0.0
description,"Description of COS Service, Future Plans and Recommendations",,,
narrative,סיכום פגישה,,,
barriers,Barriers to progress:,,,
narrative,Narrative,,accept,0.0
note_text,Note,,accept,0.0
note_text,Note,,accept,0.0
signature,Signature Field,,,
purpose_text,,,,
activity_text,,,,
response_text,,,,
overall_outcome_text,,,,
purpose_text,,,,
activity_text,,,,
response_text,,,,
overall_outcome_text,,,,
purpose_text,,,,
activity_text,,,,
response_text,,,,
overall_outcome_text,,,,
comments_text,Comments,,accept,0.0
client_comments_text,Client Comments,,accept,0.0
health_issues_text,Client Health Issues,,,
sud_progress,"Movement toward treatment plan objectives by (include Individual's perception of services, supports and/or treatment and progress toward goals)",,,
sud_staff_intervention,"Staff intervention (i.e. modality, EBP, assignment of homework, etc.)",,,
sud_individual_response,Individual's Response to Intervention,,,
summary_text,,,,
narrative,Narration,,,
contact,"Collateral Contact (including all participants during the service - family, friends, Law enforcement, other staff): ",,,
response,Response to Treatment,,,
focus," What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
struggles,Identified Struggles,,,
group_progress,Group Progress Update,,,
sleep,Sleep/Appetite,,,
issues_text,Issues Addressed During Session,,,
nextappt_text,Next Appointment Scheduled,,,
group,Group Progress Update,,,
emotional,"Emotional, Behavioral or Cognitive Conditions and Complications",,,
relapse,Relapse/Continued Use Potential,,,
recovery,Recovery Environment,,,
sleep,Sleep/Appetite,,,
Observations,Observations:,,accept,0.0
Updates,Updates:,,accept,0.0
Response,Client Response to Interventions:,,,
sessioncontent,Session Content,,,
planrec,Plan/Recommendations,,,
treatment_provided,Treatment provided (Document treatment and client outcome during session):,,,
treatment_goals,Progress toward Treatment Goals (Document progress toward this treatment goal):,,,
suicidal_ideation_text,Suicidal Ideation,,accept,0.0
homicidal_ideation_text,Homicidal Ideation,,accept,0.0
community_resources,Referral to Community Resources:,,,
contact_with_caregiver,Contact with Caregiver:,,accept,0.0
coordination_of_services_text,Coordination of Services,,accept,0.0
description_of_training,"Description of Training/Intervention: (ex. Supporting, demonstrating, engaging, role-playing, empowering)",,,
narrative,Narrative,,accept,0.0
focus_of_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
interventions_provided,Describe the interventions provided.,,,
clients_response_to_intervention,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
document_plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,,,
reson_referral,Reason for Referral/Interval History,,,
intervention_text,Intervention,,accept,0.0
response_text,Response,,accept,0.0
problems_issues,"Specific problems(s), issue(s), behavior(s), skill deficits addressed:",,,
mh_update,Update on client mental health status and significant life changes:,,,
cm_efforts,Case Manager’s Efforts/Activities:,,,
specific_interventions,"Specific interventions provided by peer and targeted actions taken to support, assist, model, or mentor the family toward achieving the identified service plan goal/objective focused on during the session.",,,
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",,,
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service",,,
specific_interventions,Specific interventions provided by clinician and targeted actions taken to move the consumer toward achieving the identified service plan goal objective focused on during the session:,,,
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",,,
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service:",,,
services_provided,Services Provided:,,accept,0.0
client_response,Client response (and family if applicable) to session provided: Prompt client to restate to reflect learning:,,,
content_intervention_progress,Content / Intervention and Progress,,accept,0.0
intervention_detail,Intervention Details,,accept,0.0
intervention_details,Intervention Details,,accept,0.0
plan_additional_information,Plan / Additional Information (Indicate action plan between sessions/meetings),,,
description_text,"Description of COS Service, Future Plans and Recommendations",,,
summary_text,Summary,,accept,0.0
additional_summary_text,Additional Summary,,accept,0.0
next_steps_text,Next Steps/Plan,,,
narrative,Narrative,,accept,0.0
GoalTB,Client Goal Addressed,,,
InterventionTB,Staff Intervention,,,
ResponseTB,Client Response to Intervention,,,
PlanTB,Plan (What are the next Steps):,,,
NotesTB,Notes:,,accept,0.0
barriers_addressed,Barriers Addressed,,accept,0.0
interactive_txt,Interactive Teaching,,,
advocate_txt,Advocate,,accept,0.0
behavioral_txt,Behavioral Rehearsal,,,
linking_txt,Linking,,accept,0.0
material_txt,Material Review And Repetition,,,
modeling_txt,Modeling,,accept,0.0
monitoring_txt,Monitoring,,accept,0.0
other_txt,Other,,accept,0.0
problem_txt,Problem Solving,,,
prompting_txt,Prompting,,accept,0.0
referral_txt,Referral,,accept,0.0
reinforcing_txt,Reinforcing,,accept,0.0
roleplay_txt,Role Play,,,
worksheets_txt,Worksheets,,accept,0.0
session_assessment,Session Assessment,,accept,0.0
plan_rec,Plan Recommendation,,accept,0.0
response_plan,Response / Plan,,accept,0.0
indiv_comments,Individual Comments,,,
plan_comments,Plan Comments,,accept,0.0
response_interactions,Response/Interactions (include discussion regarding any significant events or changes in the life of the person served),,,
response_interactions,Response/Interactions (include discussion regarding any significant events or changes in the life of the person served),,,
objective,Objective,,accept,0.0
mental_status_exam,Mental Status Exam,,accept,0.0
situation,Situation,,accept,0.0
next_appointment,Next Appointment Date/Time,,,
issues,Today's Presenting Issue(s),,,
summary_text,Session Summary,,,
history,History of Problem and any recent Stressors,,,
goal,What is your immediate goal for treatment?,,,
long_term,What would you like to see be different in the long term?,,,
formulation,"Initial Clinical Formulation (Summary of presenting problem, problem history, treatment history, any information that is pertinent to treatment as well as diagnostic impressions)",,,
soap_note_textbox,SOAP Note,,accept,0.0
clinical_impression_assessment_tb,Clinical Impression/Assessment,,accept,0.0
comments_tb,Disposition plan,,,
notes_tb,Notes:,,accept,0.0
soap_note_textbox,SOAP Note,,accept,0.0
client_issues_discussed_textbox,Current Issues Discussed:,,,
clinical_interventions_used_textbox,Clinical Interventions Used:,,accept,0.0
observations_made_textbox,Observations Made of Individual:,,,
clinical_assessment_textbox,Clinical Assessment of Issues:,,,
plan_treatment_textbox,Plan for ongoing treatment or follow up needed:,,,
update_textbox,Update to individual's personal story,,,
response,Client Response to Intervention,,,
response,Client Response to Intervention,,,
response,Client Response to Intervention,,,
situation_text,,,,
interventions_text,,,,
response_text,,,,
therapeutic_interventions_provided,Therapeutic Interventions Provided,,accept,0.0
response_intervention,Response to Intervention/Progress Toward Goals and Objectives,,,
addional_information_plan,Additional Information/Plan (if applicable),,,
continued_plan,Continued Additional Information/Plan (if applicable):,,,
linkage_text,,,,
advocacy_text,,,,
referral_text,,,,
monitoring_text,,,,
followup_text,,,,
needs_text,,,,
chief_complaint,Chief Complaint,,accept,0.0
hpi,History of Present Illness,,,
past_psychaitric_history,"Past Psychiatric History (Include: CSA, case management, hospitalizations)",,,
history_suicidal_behavioral,History of Suicidal/Homicidal/Violent Behavior,,,
medical_history,"Medical History (head injury, seizure disorders, surgeries, etc.)",,,
social_history,"Social History (family, emotional, physical, sex abuse, legal, substance use)",,,
description,Description:,,accept,0.0
persons_present,Persons Present,,accept,0.0
changes_previous_previous_visit,Changes from Previous Visit,,accept,0.0
mental_status_exam,Mental Status Exam,,accept,0.0
labs,Labs,,accept,0.0
medical_conditions,Medical Conditions,,accept,0.0
psychiatric_recommendations_medication_side_effects,"Psychiatric Recommendations including Justification of Medication, Side Effects, and Adverse Reactions",,,
client_participation_text,,,,
group_focus,Group Focus*,,accept,0.0
status_text,,,,
summary_text,,,,
situation_text,Situation,,accept,0.0
intervention_text,Intervention,,accept,0.0
response_text,Response,,accept,0.0
progress_text,Progress,,accept,0.0
changes_in_mse,Changes in MSE or New Issues Presented in today's session,,,
session_objective,Session Objective/Notes,,,
narrative,Narrative*,,accept,0.0
support_offered,Support Offered,,accept,0.0
response_outcome,Response/Outcome,,accept,0.0
new_information_interim_updates,New Information / Interim Updates,,accept,0.0
clinical_interventions_consumer_response_progress_towards_goals,Clinical Interventions / Consumer Response / Progress Towards Goals,,accept,0.0
response_outcome,Response/Outcome,,accept,0.0
party_txt,,,,
case_txt,,,,
indiv_txt,,,,
activity_txt,,,,
response_txt,,,,
plan_txt,,,,
responsetointervention,Response to Intervention/Progress Toward Goals and Objectives,,,
additionalinfo,Additional Information/Plan (if applicable),,,
Chief_Comptxt,,,,
Med_Rectxt,,,,
F_Historytxt,,,,
Assessment_Plantxt,,,,
current_issues,Current Issues Addressed:*,,,
observations,Observations Made of Individual:*,,,
plan_treatment,Specific Plan for Ongoing Treatment or Follow up Needed,,,
activity_observations,Activity & Observations *,,accept,0.0
riskassessment,Risk Assessment,,,
location_text,Location*,,accept,0.0
care_coordination_text,Care Coordination/Consultation,,,
session_notes_text,Session Notes*,,accept,0.0
additional_information_text,,,,
progress_text,,,,
location_text,Location,,accept,0.0
session_text,Session Notes,,,
progress_text,Progress,,accept,0.0
focus_text,Focus of Session*,,,
session_text,Session Notes,,,
interventions_text,Interventions Used/Response to Interventions*,,,
progress_text,Progress*,,accept,0.0
crisis_text,"Current crisis situation, needs, problems, and stressors",,,
narrative_text,Content of session/Narrative,,,
session_content,Session Content,,accept,0.0
screening,Review of Screening Tools,,,
subjective,"Subjective Data (on a patient's feelings, experiences, or thoughts, such as direct quotes or their observations) *",,,
objective,"Objective Data (regarding the client's mental or general health status, e.g., details from their therapy appointment) *",,,
review,"Review of previous assessment, including progress",,,
needs_barriers,Review of needs and barriers,,,
assign,Assign Follow-up Tasks:,,,
outreach_info,Outreach Information,,,
desc_details,Describe details of PAYA service,,,
clin_obs,Clinical Observations,,,
client_response,Client Responses,,accept,0.0
progress_towards,Progress Towards Recovery Plan Objectives,,,
timelines,Timelines for Next Service,,,
what_actions,What actions should the individual complete before next service?,,,
objective,Note Address Which PCRP Objective,,,
details,Describe details of the training service,,,
observations,Clinical Observations,,,
responses,Client Responses,,,
timeline,Timelines for Next Service,,,
intervention_text,Intervention,,accept,0.0
response_text,Response,,accept,0.0
progress_text,Progress,,accept,0.0
intervention_text,Interventions:,,accept,0.0
response_text,Response:,,accept,0.0
what_we_talked_about,What we talked about,,accept,0.0
plans,Plans (Who will do what by when?),,,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
narrative,Narrative,,accept,0.0
problems_addressed,"Specific problems(s), issue(s), behavior(s), skill deficits addressed:",,,
update,Update on client mental health status and significant life changes:,,,
efforts_activities,Case Manager’s Efforts/Activities:,,,
assessment_continued,Assessment continued (A),,accept,0.0
if_yes_explain,"If Yes, Explain?",,accept,0.0
current,Current physical and health status,,,
explanation,"Explanation (use direct quotes from Customer, when possible)",,,
service,Describe details of housing service,,,
paya_service,Describe details of PAYA service,,,
subjective,"Subjective -Client's feelings, concerns, and experiences",,,
objective,"Objective - Observable, quantifiable and factual data",,,
Contact_Typetxt,,,,
Narrativetxt,,,,
Follow_Uptxt,,,,
desc_distresstxt,,,,
w_triggerstxt,,,,
plantxt,,,,
psych_chief_complaint,Chief Complaint,,accept,0.0
psych_interval_history,Interval History,,accept,0.0
psych_review_systems,Review of Systems,,accept,0.0
psych_plan_smoking,Plan/Education provided towards smoking cessation:,,,
psych_substance_abuse,Substance Use/Abuse/Addictive Behaviors,,,
psych_mental_status,Mental Status Exam,,,
psych_medical_assessment,Medical Decision Making/Assessment Plan,,,
psych_counseling_comments,Counseling Done Comments:,,,
psych_care_coordination,Coordination of Care Comments:,,,
psych_other_factors,"Are there other factors affecting Medical Decision Making (comorbidities, complications, worsening conditions, etc)?",,,
psych_goals_next,Are there any goals for the next session?,,,
key_moments,Key Moments,,accept,0.0
psych_1,Presenting Concerns (Chief Complaint & Additional Concerns):,,,
psych_2,Symptom History:,,,
psych_3,Family/Caregiver Observations:,,,
psych_4,Appearance and Behavior:,,,
psych_5,Mood and Affect:,,,
psych_6,Speech and Thought Process:,,,
psych_7,Additional Observations:,,,
psych_8,Diagnosis:,,,
psych_9,Clinical Impression:,,,
psych_10,Progress:,,,
psych_11,Medication Management:,,,
psych_12,Therapeutic Interventions:,,,
psych_13,Behavioral Recommendations:,,,
psych_14,Follow-Up:,,,
psych_15,Caregiver Education:,,,
psych_16,Client Engagement:,,,
psych_17,Clinical Data (lab orders/results/AIMS/ phone calls/scores from rating scales):,,,
steps,What steps and assignments need to be taken to prepare for discharge?,,,
home,Progress in the Home,,,
needs,Needs,,accept,0.0
outcomes,Describe Outcomes,,,
intervention_activity,Intervention Activity,,accept,0.0
effectiveness_outcome,Intervention Effectiveness / Outcome,,,
information,Session Information,,,
describe_services,"Describe current service(s), how the service addressed the beneficiary's behavioral health need (e.g., symptom, condition, diagnosis, and/or risk factors).",,,
goal,Goal,,accept,0.0
transition_plan,Transition Plan,,accept,0.0
purpose,Purpose/Present,,,
response,Response,,accept,0.0
goal,Goal,,accept,0.0
interventions_plan,Planned Interventions,,accept,0.0
transition_plan,Transition Plan,,accept,0.0
information,Session Information,,,
purpose,Purpose/Problem,,,
goals,Goals/Actions,,,
intervention_course,Interventions and Course of Treatment/Action,,,
problem,Problem Statement:,,,
problem,Problem Statement,,,
problem_statement,Problem Statement,,accept,0.0
client_response,Client Response,,accept,0.0
intervention_text,Intervention (Interaction that occurred during service delivery and how it relates to plan of care),,,
response_text,Response to today's intervention / changes in condition,,,
progress_text,Explain your progress rating,,,
intervention_text,Describe interaction that occurred during service delivery and how it relates to plan of care,,,
response_text,Describe response to today's Intervention,,,
progress_text,Explain your progress rating,,,
intervention_text,Intervention (Interaction that occurred during service delivery and how it relates to plan of care),,,
response_text,Response to today's intervention / changes in condition,,,
progress_text,Explain your progress rating,,,
briefdescriptiontb,Brief Description:,,,
medicalconcernstb,Medical Concerns:,,,
behaviorstb,Behaviors:,,,
housetb,House,,,
ECSteamtb,ECS Team,,,
familyguardiantb,Family/Guardian,,,
psychiatristtb,Psychiatrist,,,
currentcontext_text,"Client's current context, needs, and barriers:",,,
summary_text,"Session summary, Care Navigator's actions to address barriers and next steps:",,,
Progresstextbox,Progress on employment/ education since last visit:,,,
Interventionstextbox,"Interventions used and manner of delivery, including treatment goals from ISP (treatment plan) addressed:",,,
Responsetb,Client presentation and response to interventions (include direct client quotes):,,,
Providertextbox,Provider/ Client plan of action (including plan for next session):,,,
admissionsummarytext,Admission Summary:,,,
additionalsessiontb,"Additional session/summary information (note ROIs signed, other people in the session, etc):",,,
objectivestb,Objectives that were addressed or need to be added to the Treatment Plan:,,,
clientplantb,Client plan,,,
providerplan,Provider plan of action (or future directions/next steps),,,
providerconsulted,(if applicable) Provider consulted with the following Care Team Members:,,,
summary_text,Summary of Overall Progress:,,,
observations,"Observations: Symptoms, Thoughts, Mood, Appearance, Behaviors ",,,
response,"Consumer Response - Progress Towards Goals, Strengths Demonstrated ",,,
substance,"Substance Use (status of use, substance(s) used, frequency, and comments)",,,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
barriers,Identify barriers to treatment and identify new needs (if any).,,,
previous_homework,Discuss/Review of previous homework if applicable.,,,
new_homework,"Assignment of new homework, if applicable.",,,
response,"List and/or Describe Material presented, Specific Techniques, and Parent or LAR Response",,,
stressors_text,,,,
help_text,,,,
intervention_text,,,,
steps_text,,,,
crisis_problem,Crisis Presenting Problem,,,
describe_risk_text," Describe Risk (ideation,intent,plan,means,attempt,& other applicable details) ",,,
intervention_text,Intervention Description & Narrative:,,,
patient_response,Describe the Patient's Response to Interventions Delivered:,,,
follow_up_plan_text,"Follow Up,Plan,& Instructions Given to Patient:",,,
intervention_description_text,Intervention Description & Narrative:,,,
patient_response_text,Describe the Patient's Response to Interventions Delivered:,,,
purpose,Purpose,,accept,0.0
Functioning,"Functioning - Observed or Reported (May include mood, affect, behavior, cognitive functioning, etc.):",,,
response,Person's Response to Intervention/Progress Toward Goals and Objectives:,,,
Functioning,"Functioning - Observed or Reported (May include mood, affect, behavior, cognitive functioning, etc.):",,,
response,Person's Response to Intervention/Progress Toward Goals and Objectives:,,,
response,Person's Response to Intervention/Progress Toward Goals and Objectives:,,,
note,Case Management Note:,,,
currentsymptoms,Current Symptoms:,,,
responsetointerventions,Response to Intervention(s):,,,
new_issue_stressors_events,New Issue(s)/Stressors/Extraordinary Events Presented Today,,,
diagnnostic_assessment,Diagnostic Assessment Update Required?,,,
brief_mental_status_exam,Brief Mental Status Exam,,accept,0.0
client_presents_danger_to_others,Client presents as a danger to:,,accept,0.0
client_presents_danger_in_form_of,Danger is in the form of:,,accept,0.0
interactive_complexity,"If yes, please select which were factors in today's visit and provide summary documentation",,,
strengths,How client's strengths and assets will be used:,,,
external_connections,How external resources/services support goals:,,,
problem_summary,Summarize the problem,,,
goal,GOAL: State the goal in the client's own words:,,,
indictaors_goal,Describe the indicators of goal achievement,,,
mms_plan,MMS PLAN,,accept,0.0
documentation,Documentation,,accept,0.0
mms_cpst_plan,MMS CPST PLAN:,,accept,0.0
additional_comments,Additional Comments,,accept,0.0
intervention_narrative,Intervention narrative:,,accept,0.0
client_response,Client response:,,accept,0.0
narrative,Presenting Issue. Clinical Observations. Therapist Interventions. Client Response. Follow-up Plan.,,,
presenting_issue,Presenting Issues by Client and Observation by Therapist:,,,
clinical_intervention,Clinical Intervention by Therapist:,,,
goal_objective_addressed,Goal/Objective addressed and progress toward achievement of Goal/Objective:,,,
client_response,"Client Response (including motivation, obstacles/barriers):",,,
followup_plan,"Follow-up Plan (including assigned homework, recommendations, termination plan):",,,
narrative,Narrative,,accept,0.0
information_text,New Salient Information provided by client/family:,,,
goals_text,Goal(s)/Objective(s) focused on in this session:,,,
interventions_text,Interventions provided and client/family response:,,,
narrative,Narrative,,accept,0.0
description,Description of Acute Situation and RT Associated Behaviors/Complex Care Needed to Address:,,,
rescommendations_outcome,Recommendation(s)/Outcome:,,,
goal_objective,Goal and Objective being Addressed :,,,
subjective,Subjective (Client's description of the problem):,,,
objective,Objective (Objective observations of the client and problem):,,,
progress_updates,"Progress and Updates Since Last Visit OR If Appointment No Show/Cancelled, MUST Document Follow Up:",,,
goals_objectives,Goals/Objectives from TX Plan Addressed Today:	,,,
response_plan,Recipient Response/Plans Toward Goal(s):	,,,
subjective,Subjective,,accept,0.0
objective,Objective,,accept,0.0
participation,Please describe the youth & family's participation & response to the interventions above:,,,
today_complaint,Today's Chief Complaint/Reason for Visit,,,
history_illness,History of Present Illness,,,
persons_present,Persons Present other than Consumer,,,
med_history,Medical/Psychiatric History,,,
fam_history,Family History,,,
social_history,Social/Substance/Legal History,,,
side_effects,Side Effects,,accept,0.0
review_comments,Review of Systems Comments,,,
substance_hx,Substance Use Hx,,,
strength,Strengths,,accept,0.0
barriers,Barriers,,accept,0.0
mental_status,Mental Status Exam,,,
si_comments,SI/HI Comments,,,
mse_comments,Mental status exam additional comments,,,
associated_signs_systems,Associated signs/systems; other information,,,
lab_comments,Lab Comments,,accept,0.0
information,Information and Education,,,
counseling_comments,Counseling Activities Comments,,,
noncounseling_comments,Non Counseling Activities Comments,,,
treatment_plan,Plan,,accept,0.0
intervention_or_activity,What was the intervention or activity?,,,
client_response,What was the client's response?,,,
progress_towards_goal,Progress towards the goal?,,accept,0.0
enhanced_clients_response,What was the client's response,,,
enhanced_progress_towards_goals,Progress Towards Goals,,accept,0.0
enhanced_clients_plan,What is the plan,,,
enhanced_intervention_or_activity,What was the intervention or activity,,,
goals_text,Goals and Objectives Targeted/ Progress:,,,
interventions_text,Interventions/ Services Provided:,,,
response_text,Response to Interventions/ Assessment/ Significant Observations:,,,
risk_text,Risk Assessment:,,,
individuals,Individuals Present/Contacted:,,,
content,Content of Contact:,,,
indiv,Individuals Present/Contacted:,,,
content,Content of Contact:,,,
interventions_and_services,"Interventions and services: Description of service provided must support the progress note selected and how the service addressed the client’s behavioral health need (e.g., symptom, condition, diagnosis, and/or risk factors), document family involvement, if applicable.",,,
Crisis_textbox,"Crisis Intervention/Support, explain",,,
Otherinfo_textbox,"Other Information/ Updates such as hospitalizations, significant change in symptoms, functioning, supports, custody, educational or vocational situations",,,
PresentingProblem_textbox,Presenting Problem (please click to complete),,,
IntegratedSummary_textbox,Integrated Summary (please click to complete),,,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
Identify,"Identify Specific Changes in Problems, Symptoms, or Functioning",,,
Daily,"Daily Summary (include Life Changes, Interventions and Progress):",,,
servicetext,,,,
participantstext,,,,
content_text,,,,
response_text,,,,
narrative,Narrative,,accept,0.0
subjective,סובייקטיבי,,,
objective,אובייקטיבי,,,
current_report,Current Report of Functioning or Life Changes:,,,
appearance_other,"If other general appearance, please describe:",,,
mood_other,"If other mood, please describe:",,,
affect_other,"If other affect, please describe:",,,
observations,Observations,,accept,0.0
interventions_other,"If other interventions needed, please explain:",,,
progress_other,"If other progress and/or response to interventions, please explain:",,,
safety_details,Safety Plan Response/Details:,,,
current_report,Current Report of Functioning or Life Changes:,,,
appearance_other,"If other appearance, please describe:",,,
mood_other,"If other mood, please describe:",,,
affect_other,"If other affect, please describe:",,,
observations,Observations,,accept,0.0
safety_details,Safety Plan Response/Details:,,,
presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:",,,
if_otherappearance,"If ""Other"", please describe:",,,
if_othermood,"If ""Other"", please describe:",,,
if_otheraffect,"If ""Other"", please describe:",,,
observations,Observations,,accept,0.0
summary_response,Summary/Response of Intervention/Services,,,
safety_plan,Safety Plan Response/Details:,,,
