field_key,field_title,nli_axis,nli_axis_label
narrative,Narrative,0.4179504607687354,Weak Match
note_text,Note,0.19441926611693985,Uncertain
note_text,Note,0.19441926611693985,Uncertain
signature,Signature Field,0.4686068016230354,Weak Match
purpose_text,,0.044526931057365084,Uncertain
activity_text,,0.060415094734104925,Uncertain
response_text,,0.11224399366841716,Uncertain
overall_outcome_text,,-0.11924152921731743,Uncertain
purpose_text,,0.044526931057365084,Uncertain
activity_text,,0.060415094734104925,Uncertain
response_text,,0.11224399366841716,Uncertain
overall_outcome_text,,-0.11924152921731743,Uncertain
purpose_text,,0.044526931057365084,Uncertain
activity_text,,0.060415094734104925,Uncertain
response_text,,0.11224399366841716,Uncertain
overall_outcome_text,,-0.11924152921731743,Uncertain
comments_text,Comments,0.06269940331186569,Uncertain
client_comments_text,Client Comments,0.13020828906866597,Uncertain
health_issues_text,Client Health Issues,0.12359673150737348,Uncertain
sud_progress,"Movement toward treatment plan objectives by (include Individual's perception of services, supports and/or treatment and progress toward goals)",-0.23616928236705353,Partial Contradiction
sud_staff_intervention,"Staff intervention (i.e. modality, EBP, assignment of homework, etc.)",-0.28677762569330006,Strong Contradiction
sud_individual_response,Individual's Response to Intervention,-0.02577625174801757,Uncertain
summary_text,,0.15341204190503946,Uncertain
narrative,Narration,0.6174940256595511,Exact Match
contact,"Collateral Contact (including all participants during the service - family, friends, Law enforcement, other staff): ",0.46164400624345636,Weak Match
response,Response to Treatment,0.4494286952285561,Weak Match
focus," What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.19569478427555034,Uncertain
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.21383973451185248,Weak Match
struggles,Identified Struggles,0.4970732371178377,Weak Match
group_progress,Group Progress Update,0.6177990785196452,Exact Match
sleep,Sleep/Appetite,0.1749407615669086,Uncertain
issues_text,Issues Addressed During Session,-0.021632227763835915,Uncertain
nextappt_text,Next Appointment Scheduled,-0.06142313676750075,Uncertain
group,Group Progress Update,0.4243677257641063,Weak Match
emotional,"Emotional, Behavioral or Cognitive Conditions and Complications",0.20282680535021913,Weak Match
relapse,Relapse/Continued Use Potential,0.2593117383394046,Weak Match
recovery,Recovery Environment,0.29005424363740623,Weak Match
sleep,Sleep/Appetite,0.1749407615669086,Uncertain
Observations,Observations:,0.6257315070202448,Exact Match
Updates,Updates:,0.735245137323106,Exact Match
Response,Client Response to Interventions:,0.5551490703585202,Weak Match
sessioncontent,Session Content,0.48888069444910626,Weak Match
planrec,Plan/Recommendations,0.12538260252206698,Uncertain
treatment_provided,Treatment provided (Document treatment and client outcome during session):,0.8254844264117066,Exact Match
treatment_goals,Progress toward Treatment Goals (Document progress toward this treatment goal):,0.45066487809709077,Weak Match
suicidal_ideation_text,Suicidal Ideation,0.13021221831946764,Uncertain
homicidal_ideation_text,Homicidal Ideation,0.15334087306474486,Uncertain
community_resources,Referral to Community Resources:,0.5461045850213885,Weak Match
contact_with_caregiver,Contact with Caregiver:,0.8080747267410252,Exact Match
coordination_of_services_text,Coordination of Services,0.05592874550416944,Uncertain
description_of_training,"Description of Training/Intervention: (ex. Supporting, demonstrating, engaging, role-playing, empowering)",0.411703028499679,Weak Match
narrative,Narrative,0.4179504607687354,Weak Match
focus_of_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.4144507629758732,Weak Match
interventions_provided,Describe the interventions provided.,0.8227078088330094,Exact Match
clients_response_to_intervention,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.757510438508751,Exact Match
document_plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,0.8859278989142094,Exact Match
reson_referral,Reason for Referral/Interval History,0.16101200172861696,Uncertain
intervention_text,Intervention,0.10011308254374932,Uncertain
response_text,Response,0.1496997665430549,Uncertain
problems_issues,"Specific problems(s), issue(s), behavior(s), skill deficits addressed:",0.42639550524842684,Weak Match
mh_update,Update on client mental health status and significant life changes:,0.1967694835563797,Uncertain
cm_efforts,Case Manager’s Efforts/Activities:,0.24759627291751043,Weak Match
specific_interventions,"Specific interventions provided by peer and targeted actions taken to support, assist, model, or mentor the family toward achieving the identified service plan goal/objective focused on during the session.",0.6976708543867777,Exact Match
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",0.3092295522487955,Weak Match
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service",0.8729480016223093,Exact Match
specific_interventions,Specific interventions provided by clinician and targeted actions taken to move the consumer toward achieving the identified service plan goal objective focused on during the session:,0.777143836422611,Exact Match
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",0.3092295522487955,Weak Match
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service:",0.8827321831954072,Exact Match
services_provided,Services Provided:,0.8035744404451313,Exact Match
client_response,Client response (and family if applicable) to session provided: Prompt client to restate to reflect learning:,0.5150299590571031,Weak Match
content_intervention_progress,Content / Intervention and Progress,0.6756646813873322,Exact Match
intervention_detail,Intervention Details,0.5583099010026537,Weak Match
intervention_details,Intervention Details,0.6513820483945606,Exact Match
plan_additional_information,Plan / Additional Information (Indicate action plan between sessions/meetings),0.6716504857110984,Exact Match
description_text,"Description of COS Service, Future Plans and Recommendations",0.4233683677632065,Weak Match
summary_text,Summary,0.27444014355922025,Weak Match
additional_summary_text,Additional Summary,0.3236411938458984,Weak Match
next_steps_text,Next Steps/Plan,0.09367857604472511,Uncertain
narrative,Narrative,0.4179504607687354,Weak Match
GoalTB,Client Goal Addressed,0.014630791043710218,Uncertain
InterventionTB,Staff Intervention,0.24201238628194646,Weak Match
ResponseTB,Client Response to Intervention,0.30570707976899375,Weak Match
PlanTB,Plan (What are the next Steps):,0.06612195825710811,Uncertain
NotesTB,Notes:,0.3039075903425143,Weak Match
barriers_addressed,Barriers Addressed,0.8858604503498491,Exact Match
interactive_txt,Interactive Teaching,-0.06370227187357236,Uncertain
advocate_txt,Advocate,-0.005738786521472674,Uncertain
behavioral_txt,Behavioral Rehearsal,-0.294242917533746,Strong Contradiction
linking_txt,Linking,0.026786702081348906,Uncertain
material_txt,Material Review And Repetition,-0.21467372757927328,Partial Contradiction
modeling_txt,Modeling,-0.019062659393282225,Uncertain
monitoring_txt,Monitoring,-0.004330524476190797,Uncertain
other_txt,Other,-0.001527434549225492,Uncertain
problem_txt,Problem Solving,-0.16626572777835802,Partial Contradiction
prompting_txt,Prompting,-0.010802766435587917,Uncertain
referral_txt,Referral,-0.010435797164632743,Uncertain
reinforcing_txt,Reinforcing,-0.003218114947820407,Uncertain
roleplay_txt,Role Play,-0.18067960864714835,Partial Contradiction
worksheets_txt,Worksheets,0.006880523130660418,Uncertain
session_assessment,Session Assessment,0.5716110613129601,Weak Match
plan_rec,Plan Recommendation,0.05354795729471376,Uncertain
response_plan,Response / Plan,0.37371389223417045,Weak Match
indiv_comments,Individual Comments,0.5275057801413414,Weak Match
plan_comments,Plan Comments,0.6257914815545033,Exact Match
response_interactions,Response/Interactions (include discussion regarding any significant events or changes in the life of the person served),0.4259209221236938,Weak Match
response_interactions,Response/Interactions (include discussion regarding any significant events or changes in the life of the person served),0.4259209221236938,Weak Match
objective,Objective,0.4291063159331615,Weak Match
mental_status_exam,Mental Status Exam,0.5851188008763368,Weak Match
situation,Situation,0.41653281294199473,Weak Match
next_appointment,Next Appointment Date/Time,0.6787358921050375,Exact Match
issues,Today's Presenting Issue(s),0.503955369887619,Weak Match
summary_text,Session Summary,0.3903306085709884,Weak Match
history,History of Problem and any recent Stressors,0.6624895122006007,Exact Match
goal,What is your immediate goal for treatment?,0.4809403438322948,Weak Match
long_term,What would you like to see be different in the long term?,0.6468027785943091,Exact Match
formulation,"Initial Clinical Formulation (Summary of presenting problem, problem history, treatment history, any information that is pertinent to treatment as well as diagnostic impressions)",0.34245822740838655,Weak Match
soap_note_textbox,SOAP Note,0.07677629408663485,Uncertain
clinical_impression_assessment_tb,Clinical Impression/Assessment,0.06796999093436758,Uncertain
comments_tb,Disposition plan,-0.19515554446679026,Partial Contradiction
notes_tb,Notes:,-0.027959126651972564,Uncertain
soap_note_textbox,SOAP Note,0.07677629408663485,Uncertain
client_issues_discussed_textbox,Current Issues Discussed:,0.03994617125127546,Uncertain
clinical_interventions_used_textbox,Clinical Interventions Used:,0.022099108677126535,Uncertain
observations_made_textbox,Observations Made of Individual:,-0.24573177911162222,Partial Contradiction
clinical_assessment_textbox,Clinical Assessment of Issues:,0.04346313996957394,Uncertain
plan_treatment_textbox,Plan for ongoing treatment or follow up needed:,0.03833894075973096,Uncertain
update_textbox,Update to individual's personal story,-0.1534446303709393,Partial Contradiction
response,Client Response to Intervention,0.5065679140937588,Weak Match
response,Client Response to Intervention,0.5065679140937588,Weak Match
response,Client Response to Intervention,0.5065679140937588,Weak Match
situation_text,,0.06689882175694574,Uncertain
interventions_text,,-0.11298685274018301,Uncertain
response_text,,0.11224367294659014,Uncertain
therapeutic_interventions_provided,Therapeutic Interventions Provided,0.8782513860254272,Exact Match
response_intervention,Response to Intervention/Progress Toward Goals and Objectives,0.1927649104781801,Uncertain
addional_information_plan,Additional Information/Plan (if applicable),0.6295854994282762,Exact Match
continued_plan,Continued Additional Information/Plan (if applicable):,0.26840670774015374,Weak Match
linkage_text,,0.06532970783691408,Uncertain
advocacy_text,,-0.10258837498568096,Uncertain
referral_text,,0.14066899389599918,Uncertain
monitoring_text,,-0.08305549996611858,Uncertain
followup_text,,0.10859471764228998,Uncertain
needs_text,,-0.0932058818458452,Uncertain
chief_complaint,Chief Complaint,0.6247880237504552,Exact Match
hpi,History of Present Illness,-0.06901611625027955,Uncertain
past_psychaitric_history,"Past Psychiatric History (Include: CSA, case management, hospitalizations)",0.26028442959903403,Weak Match
history_suicidal_behavioral,History of Suicidal/Homicidal/Violent Behavior,0.7355055592228521,Exact Match
medical_history,"Medical History (head injury, seizure disorders, surgeries, etc.)",0.6505530572892576,Exact Match
social_history,"Social History (family, emotional, physical, sex abuse, legal, substance use)",0.7060171817793697,Exact Match
description,Description:,0.5644705762141796,Weak Match
persons_present,Persons Present,0.7242605945379523,Exact Match
changes_previous_previous_visit,Changes from Previous Visit,0.49811491123076,Weak Match
mental_status_exam,Mental Status Exam,0.585118825890012,Weak Match
labs,Labs,0.5598164830529411,Weak Match
medical_conditions,Medical Conditions,0.5907499496425614,Weak Match
psychiatric_recommendations_medication_side_effects,"Psychiatric Recommendations including Justification of Medication, Side Effects, and Adverse Reactions",0.7791273936189503,Exact Match
client_participation_text,,-0.04408007638502033,Uncertain
group_focus,Group Focus*,0.4637535810535994,Weak Match
status_text,,0.11052169303443916,Uncertain
summary_text,,0.15341220625720045,Uncertain
situation_text,Situation,0.07664049218444963,Uncertain
intervention_text,Intervention,0.10011298868498965,Uncertain
response_text,Response,0.14969964356010929,Uncertain
progress_text,Progress,0.18327886706574978,Uncertain
changes_in_mse,Changes in MSE or New Issues Presented in today's session,0.52150170569445,Weak Match
session_objective,Session Objective/Notes,0.3214504717891656,Weak Match
narrative,Narrative*,0.3873466029687779,Weak Match
support_offered,Support Offered,0.8860461309067658,Exact Match
response_outcome,Response/Outcome,0.4475957370687905,Weak Match
new_information_interim_updates,New Information / Interim Updates,0.8050185859133772,Exact Match
clinical_interventions_consumer_response_progress_towards_goals,Clinical Interventions / Consumer Response / Progress Towards Goals,0.7876265800272926,Exact Match
response_outcome,Response/Outcome,0.4475957370687905,Weak Match
party_txt,,-0.20019900902029883,Partial Contradiction
case_txt,,-0.12716998453677905,Uncertain
indiv_txt,,-0.10306444020998795,Uncertain
activity_txt,,-0.058635799503339685,Uncertain
response_txt,,-0.10166851714947077,Uncertain
plan_txt,,-0.14467397594623754,Uncertain
responsetointervention,Response to Intervention/Progress Toward Goals and Objectives,0.24835893840245804,Weak Match
additionalinfo,Additional Information/Plan (if applicable),0.7031952770533854,Exact Match
Chief_Comptxt,,-0.09432866013004616,Uncertain
Med_Rectxt,,-0.10022855341836012,Uncertain
F_Historytxt,,-0.10453614094715336,Uncertain
Assessment_Plantxt,,-0.1489778319295392,Uncertain
current_issues,Current Issues Addressed:*,0.6601926457054089,Exact Match
observations,Observations Made of Individual:*,0.593466859917251,Weak Match
plan_treatment,Specific Plan for Ongoing Treatment or Follow up Needed,0.40081379008212364,Weak Match
activity_observations,Activity & Observations *,0.40727845148753944,Weak Match
riskassessment,Risk Assessment,0.4374885866625125,Weak Match
location_text,Location*,0.2573395955642824,Weak Match
care_coordination_text,Care Coordination/Consultation,0.004610473810025702,Uncertain
session_notes_text,Session Notes*,0.2450578233128335,Weak Match
additional_information_text,,0.012318963209001124,Uncertain
progress_text,,-0.05561406600003648,Uncertain
location_text,Location,0.1441492792545235,Uncertain
session_text,Session Notes,-0.08814069025938956,Uncertain
progress_text,Progress,0.18327886722338374,Uncertain
focus_text,Focus of Session*,0.010023747132838592,Uncertain
session_text,Session Notes,-0.08814069025938956,Uncertain
interventions_text,Interventions Used/Response to Interventions*,0.04800540935137459,Uncertain
progress_text,Progress*,0.25226177185896465,Weak Match
crisis_text,"Current crisis situation, needs, problems, and stressors",-0.03357660753159619,Uncertain
narrative_text,Content of session/Narrative,0.2427316143076037,Weak Match
session_content,Session Content,0.5207134899957091,Weak Match
screening,Review of Screening Tools,0.23185853951746935,Weak Match
subjective,"Subjective Data (on a patient's feelings, experiences, or thoughts, such as direct quotes or their observations) *",0.4944496505924798,Weak Match
objective,"Objective Data (regarding the client's mental or general health status, e.g., details from their therapy appointment) *",0.1699569401197233,Uncertain
review,"Review of previous assessment, including progress",0.5826904870379027,Weak Match
needs_barriers,Review of needs and barriers,0.19848320372413222,Uncertain
assign,Assign Follow-up Tasks:,0.7459002637108424,Exact Match
outreach_info,Outreach Information,0.6528032693167155,Exact Match
desc_details,Describe details of PAYA service,0.7454800127271679,Exact Match
clin_obs,Clinical Observations,0.5223315954656933,Weak Match
client_response,Client Responses,0.6348425662598884,Exact Match
progress_towards,Progress Towards Recovery Plan Objectives,0.47852878046772085,Weak Match
timelines,Timelines for Next Service,0.44967385041239794,Weak Match
what_actions,What actions should the individual complete before next service?,0.682994416822847,Exact Match
objective,Note Address Which PCRP Objective,0.26751547085248295,Weak Match
details,Describe details of the training service,0.6022527392243806,Exact Match
observations,Clinical Observations,0.6607793240167018,Exact Match
responses,Client Responses,0.4653902823756396,Weak Match
timeline,Timelines for Next Service,0.24023392690421452,Weak Match
intervention_text,Intervention,0.10011308254374932,Uncertain
response_text,Response,0.1496997665430549,Uncertain
progress_text,Progress,0.18327895757838478,Uncertain
intervention_text,Interventions:,0.03691212066791828,Uncertain
response_text,Response:,0.2208003566323537,Weak Match
what_we_talked_about,What we talked about,0.8033756172812216,Exact Match
plans,Plans (Who will do what by when?),0.40812512146738367,Weak Match
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.19569478427555034,Uncertain
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.21383973451185248,Weak Match
narrative,Narrative,0.4179504607687354,Weak Match
problems_addressed,"Specific problems(s), issue(s), behavior(s), skill deficits addressed:",0.7930157624476418,Exact Match
update,Update on client mental health status and significant life changes:,0.6188542300803404,Exact Match
efforts_activities,Case Manager’s Efforts/Activities:,0.6125886522582278,Exact Match
assessment_continued,Assessment continued (A),0.9235549164810957,Exact Match
if_yes_explain,"If Yes, Explain?",0.869808070235647,Exact Match
current,Current physical and health status,0.6154048586737917,Exact Match
explanation,"Explanation (use direct quotes from Customer, when possible)",0.43046351352024753,Weak Match
service,Describe details of housing service,0.2860656867818152,Weak Match
paya_service,Describe details of PAYA service,0.5513230436301779,Weak Match
subjective,"Subjective -Client's feelings, concerns, and experiences",0.5472408959096414,Weak Match
objective,"Objective - Observable, quantifiable and factual data",0.32217717261242235,Weak Match
Contact_Typetxt,,-0.09968275658575236,Uncertain
Narrativetxt,,0.056955782103830135,Uncertain
Follow_Uptxt,,-0.09098566462636176,Uncertain
desc_distresstxt,,0.06214396923327535,Uncertain
w_triggerstxt,,-0.13955929202854947,Uncertain
plantxt,,-0.07090292757687855,Uncertain
psych_chief_complaint,Chief Complaint,-0.019923359508918194,Uncertain
psych_interval_history,Interval History,0.01673614228127373,Uncertain
psych_review_systems,Review of Systems,0.08190669979035531,Uncertain
psych_plan_smoking,Plan/Education provided towards smoking cessation:,-0.08075174116909947,Uncertain
psych_substance_abuse,Substance Use/Abuse/Addictive Behaviors,0.03814317761359479,Uncertain
psych_mental_status,Mental Status Exam,0.013111479495976566,Uncertain
psych_medical_assessment,Medical Decision Making/Assessment Plan,-0.08109995365832717,Uncertain
psych_counseling_comments,Counseling Done Comments:,-0.05985401720920195,Uncertain
psych_care_coordination,Coordination of Care Comments:,0.03233051965071511,Uncertain
psych_other_factors,"Are there other factors affecting Medical Decision Making (comorbidities, complications, worsening conditions, etc)?",0.23040615477381213,Weak Match
psych_goals_next,Are there any goals for the next session?,-0.020968124627643428,Uncertain
key_moments,Key Moments,0.7342695143757085,Exact Match
psych_1,Presenting Concerns (Chief Complaint & Additional Concerns):,-0.13959535629681288,Uncertain
psych_2,Symptom History:,-0.17398994615450677,Partial Contradiction
psych_3,Family/Caregiver Observations:,-0.2580003745158119,Strong Contradiction
psych_4,Appearance and Behavior:,-0.23892466208211144,Partial Contradiction
psych_5,Mood and Affect:,-0.1972235306297313,Partial Contradiction
psych_6,Speech and Thought Process:,-0.21994689545148186,Partial Contradiction
psych_7,Additional Observations:,-0.27736130504515627,Strong Contradiction
psych_8,Diagnosis:,-0.24129232920677282,Partial Contradiction
psych_9,Clinical Impression:,-0.20507107724202187,Partial Contradiction
psych_10,Progress:,-0.2616347671652897,Strong Contradiction
psych_11,Medication Management:,-0.147161236028332,Uncertain
psych_12,Therapeutic Interventions:,-0.12832389460076463,Uncertain
psych_13,Behavioral Recommendations:,-0.15269454917436706,Partial Contradiction
psych_14,Follow-Up:,-0.21795704096758317,Partial Contradiction
psych_15,Caregiver Education:,-0.24269539649357583,Partial Contradiction
psych_16,Client Engagement:,-0.17171422497786656,Partial Contradiction
psych_17,Clinical Data (lab orders/results/AIMS/ phone calls/scores from rating scales):,-0.29532654612916054,Strong Contradiction
steps,What steps and assignments need to be taken to prepare for discharge?,0.21989147921098895,Weak Match
home,Progress in the Home,0.6422089157344942,Exact Match
needs,Needs,0.7522228368276823,Exact Match
outcomes,Describe Outcomes,0.561327934578475,Weak Match
intervention_activity,Intervention Activity,0.5531946413906127,Weak Match
effectiveness_outcome,Intervention Effectiveness / Outcome,0.4735833875230178,Weak Match
information,Session Information,0.7063052455910382,Exact Match
describe_services,"Describe current service(s), how the service addressed the beneficiary's behavioral health need (e.g., symptom, condition, diagnosis, and/or risk factors).",0.8996941170433825,Exact Match
goal,Goal,0.623727095833639,Exact Match
transition_plan,Transition Plan,0.6620432406755541,Exact Match
purpose,Purpose/Present,0.302926410576369,Weak Match
response,Response,0.4337319789906334,Weak Match
goal,Goal,0.623727095833639,Exact Match
interventions_plan,Planned Interventions,0.7792331066186678,Exact Match
transition_plan,Transition Plan,0.6620432406755541,Exact Match
information,Session Information,0.7063052455910382,Exact Match
purpose,Purpose/Problem,-0.04761255552483973,Uncertain
goals,Goals/Actions,0.22535162343262374,Weak Match
intervention_course,Interventions and Course of Treatment/Action,0.10122712136759732,Uncertain
problem,Problem Statement:,0.567110003944158,Weak Match
problem,Problem Statement,0.5504878845365279,Weak Match
problem_statement,Problem Statement,0.7567351510397635,Exact Match
client_response,Client Response,0.639174901270301,Exact Match
intervention_text,Intervention (Interaction that occurred during service delivery and how it relates to plan of care),-0.00509689119695228,Uncertain
