field_key,field_title,validity_stats,token_valid_ratio,char_valid_ratio,valid_tokens,invalid_tokens,tokens,token_validity_ratio_label,camel_case_flag,snake_case_flag,clean_word_flag,missing_field_title
describe_text,Describe:,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['describe', 'text'], 'invalid_tokens': [], 'tokens': ['describe', 'text']}",1.0,1.0,"['describe', 'text']",[],"['describe', 'text']",VALID,False,True,False,False
additionalcommentstext,Comments:,"{'token_valid_ratio': 0.0, 'char_valid_ratio': 0.0, 'valid_tokens': [], 'invalid_tokens': ['additionalcommentstext'], 'tokens': ['additionalcommentstext']}",0.0,0.0,[],['additionalcommentstext'],['additionalcommentstext'],INVALID,False,False,False,False
clinical_course,Clinical course of treatment including rationale for today's service,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['clinical', 'course'], 'invalid_tokens': [], 'tokens': ['clinical', 'course']}",1.0,1.0,"['clinical', 'course']",[],"['clinical', 'course']",VALID,False,True,False,False
changes_consumer,Changes in the consumer's condition or situation,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['changes', 'consumer'], 'invalid_tokens': [], 'tokens': ['changes', 'consumer']}",1.0,1.0,"['changes', 'consumer']",[],"['changes', 'consumer']",VALID,False,True,False,False
response,Current status and response to treatment,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
chief,Chief Complaint,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['chief'], 'invalid_tokens': [], 'tokens': ['chief']}",1.0,1.0,['chief'],[],['chief'],VALID,False,False,False,False
history,History of Present Illness (details if applicable),"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['history'], 'invalid_tokens': [], 'tokens': ['history']}",1.0,1.0,['history'],[],['history'],VALID,False,False,False,False
treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['treatment', 'history'], 'invalid_tokens': [], 'tokens': ['treatment', 'history']}",1.0,1.0,"['treatment', 'history']",[],"['treatment', 'history']",VALID,False,True,False,False
prev_meds,Medications Previously Tried (if any),"{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.5, 'valid_tokens': ['meds'], 'invalid_tokens': ['prev'], 'tokens': ['prev', 'meds']}",0.5,0.5,['meds'],['prev'],"['prev', 'meds']",INVALID,False,True,False,False
substance_abuse,Past and Current Substances Abuse,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['substance', 'abuse'], 'invalid_tokens': [], 'tokens': ['substance', 'abuse']}",1.0,1.0,"['substance', 'abuse']",[],"['substance', 'abuse']",VALID,False,True,False,False
child_development,Childhood Development (Children Only),"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['child', 'development'], 'invalid_tokens': [], 'tokens': ['child', 'development']}",1.0,1.0,"['child', 'development']",[],"['child', 'development']",VALID,False,True,False,False
issues,Personal/Family/Social History/Legal Issues,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['issues'], 'invalid_tokens': [], 'tokens': ['issues']}",1.0,1.0,['issues'],[],['issues'],VALID,False,False,False,False
fam_history,Family History (Biological Loading),"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['fam', 'history'], 'invalid_tokens': [], 'tokens': ['fam', 'history']}",1.0,1.0,"['fam', 'history']",[],"['fam', 'history']",VALID,False,True,False,False
reactions,Allergies/Adverse Reactions,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['reactions'], 'invalid_tokens': [], 'tokens': ['reactions']}",1.0,1.0,['reactions'],[],['reactions'],VALID,False,False,False,False
med_history,Medical History,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['med', 'history'], 'invalid_tokens': [], 'tokens': ['med', 'history']}",1.0,1.0,"['med', 'history']",[],"['med', 'history']",VALID,False,True,False,False
current_meds,Current Medications,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['current', 'meds'], 'invalid_tokens': [], 'tokens': ['current', 'meds']}",1.0,1.0,"['current', 'meds']",[],"['current', 'meds']",VALID,False,True,False,False
contraceptive,LMP and Contraceptive Method,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['contraceptive'], 'invalid_tokens': [], 'tokens': ['contraceptive']}",1.0,1.0,['contraceptive'],[],['contraceptive'],VALID,False,False,False,False
height,Height and Weight:,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['height'], 'invalid_tokens': [], 'tokens': ['height']}",1.0,1.0,['height'],[],['height'],VALID,False,False,False,False
appearance,Appearance,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['appearance'], 'invalid_tokens': [], 'tokens': ['appearance']}",1.0,1.0,['appearance'],[],['appearance'],VALID,False,False,False,False
eye_contact,Eye Contact,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['eye', 'contact'], 'invalid_tokens': [], 'tokens': ['eye', 'contact']}",1.0,1.0,"['eye', 'contact']",[],"['eye', 'contact']",VALID,False,True,False,False
attention,Attention Span,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['attention'], 'invalid_tokens': [], 'tokens': ['attention']}",1.0,1.0,['attention'],[],['attention'],VALID,False,False,False,False
psych_activity,Psychomotor Activity,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['psych', 'activity'], 'invalid_tokens': [], 'tokens': ['psych', 'activity']}",1.0,1.0,"['psych', 'activity']",[],"['psych', 'activity']",VALID,False,True,False,False
content,Thought Content,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['content'], 'invalid_tokens': [], 'tokens': ['content']}",1.0,1.0,['content'],[],['content'],VALID,False,False,False,False
mood,Mood,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['mood'], 'invalid_tokens': [], 'tokens': ['mood']}",1.0,1.0,['mood'],[],['mood'],VALID,False,False,False,False
affect,Affect,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['affect'], 'invalid_tokens': [], 'tokens': ['affect']}",1.0,1.0,['affect'],[],['affect'],VALID,False,False,False,False
associations,Associations,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['associations'], 'invalid_tokens': [], 'tokens': ['associations']}",1.0,1.0,['associations'],[],['associations'],VALID,False,False,False,False
manner,Manner of Relating to Examiner,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['manner'], 'invalid_tokens': [], 'tokens': ['manner']}",1.0,1.0,['manner'],[],['manner'],VALID,False,False,False,False
therapy_recs,Therapeutic Recommendations,"{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.6364, 'valid_tokens': ['therapy'], 'invalid_tokens': ['recs'], 'tokens': ['therapy', 'recs']}",0.5,0.6364,['therapy'],['recs'],"['therapy', 'recs']",INVALID,False,True,False,False
clin_interpretations,Clinical Interpretation,"{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.7895, 'valid_tokens': ['interpretations'], 'invalid_tokens': ['clin'], 'tokens': ['clin', 'interpretations']}",0.5,0.7895,['interpretations'],['clin'],"['clin', 'interpretations']",INVALID,False,True,False,False
narrative,Narrative,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['narrative'], 'invalid_tokens': [], 'tokens': ['narrative']}",1.0,1.0,['narrative'],[],['narrative'],VALID,False,False,False,False
information_text,New Salient Information provided by client/family:,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['information', 'text'], 'invalid_tokens': [], 'tokens': ['information', 'text']}",1.0,1.0,"['information', 'text']",[],"['information', 'text']",VALID,False,True,False,False
goals_text,Goal(s)/Objective(s) focused on in this session:,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['goals', 'text'], 'invalid_tokens': [], 'tokens': ['goals', 'text']}",1.0,1.0,"['goals', 'text']",[],"['goals', 'text']",VALID,False,True,False,False
interventions_text,Interventions provided and client/family response:,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['interventions', 'text'], 'invalid_tokens': [], 'tokens': ['interventions', 'text']}",1.0,1.0,"['interventions', 'text']",[],"['interventions', 'text']",VALID,False,True,False,False
therapeutic_text,Narrative Description,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['therapeutic', 'text'], 'invalid_tokens': [], 'tokens': ['therapeutic', 'text']}",1.0,1.0,"['therapeutic', 'text']",[],"['therapeutic', 'text']",VALID,False,True,False,False
progress_text, Description of progress/client response,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['progress', 'text'], 'invalid_tokens': [], 'tokens': ['progress', 'text']}",1.0,1.0,"['progress', 'text']",[],"['progress', 'text']",VALID,False,True,False,False
therapeutic_text,Narrative Description,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['therapeutic', 'text'], 'invalid_tokens': [], 'tokens': ['therapeutic', 'text']}",1.0,1.0,"['therapeutic', 'text']",[],"['therapeutic', 'text']",VALID,False,True,False,False
progress_text,Description of progress/client response,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['progress', 'text'], 'invalid_tokens': [], 'tokens': ['progress', 'text']}",1.0,1.0,"['progress', 'text']",[],"['progress', 'text']",VALID,False,True,False,False
info,Session Info,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['info'], 'invalid_tokens': [], 'tokens': ['info']}",1.0,1.0,['info'],[],['info'],VALID,False,False,False,False
description,Description,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['description'], 'invalid_tokens': [], 'tokens': ['description']}",1.0,1.0,['description'],[],['description'],VALID,False,False,False,False
response,Response,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['focus'], 'invalid_tokens': [], 'tokens': ['focus']}",1.0,1.0,['focus'],[],['focus'],VALID,False,False,False,False
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
info,Session Objective/Notes,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['info'], 'invalid_tokens': [], 'tokens': ['info']}",1.0,1.0,['info'],[],['info'],VALID,False,False,False,False
summary_contact,Summary of Contact,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['summary', 'contact'], 'invalid_tokens': [], 'tokens': ['summary', 'contact']}",1.0,1.0,"['summary', 'contact']",[],"['summary', 'contact']",VALID,False,True,False,False
summary_text,"Summary: Goals, Objectives, Interventions Delivered & Consumer Response","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['summary', 'text'], 'invalid_tokens': [], 'tokens': ['summary', 'text']}",1.0,1.0,"['summary', 'text']",[],"['summary', 'text']",VALID,False,True,False,False
need,Need for or goal of intervention,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['need'], 'invalid_tokens': [], 'tokens': ['need']}",1.0,1.0,['need'],[],['need'],VALID,False,False,False,False
response,Response to Intervention,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
sud_symptoms,Symptoms/Problems Status (incl. changes in Circumstances/Stressors),"{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.7273, 'valid_tokens': ['symptoms'], 'invalid_tokens': ['sud'], 'tokens': ['sud', 'symptoms']}",0.5,0.7273,['symptoms'],['sud'],"['sud', 'symptoms']",INVALID,False,True,False,False
sud_interventions,Clinical Intervention(s)/Client Response(s)/Progress toward Goal(s),"{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.8125, 'valid_tokens': ['interventions'], 'invalid_tokens': ['sud'], 'tokens': ['sud', 'interventions']}",0.5,0.8125,['interventions'],['sud'],"['sud', 'interventions']",INVALID,False,True,False,False
sud_plan,"Plan/Additional Information, if applicable?","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.5714, 'valid_tokens': ['plan'], 'invalid_tokens': ['sud'], 'tokens': ['sud', 'plan']}",0.5,0.5714,['plan'],['sud'],"['sud', 'plan']",INVALID,False,True,False,False
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development?)","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['focus'], 'invalid_tokens': [], 'tokens': ['focus']}",1.0,1.0,['focus'],[],['focus'],VALID,False,False,False,False
response,"Describe the client's response to the intervention, progress made toward goals, and strengths. If progress is not being made, describe reasons and barriers to progress.","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
lastservice,Plan from Last Service.,"{'token_valid_ratio': 0.0, 'char_valid_ratio': 0.0, 'valid_tokens': [], 'invalid_tokens': ['lastservice'], 'tokens': ['lastservice']}",0.0,0.0,[],['lastservice'],['lastservice'],INVALID,False,False,False,False
presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['presenting', 'problems'], 'invalid_tokens': [], 'tokens': ['presenting', 'problems']}",1.0,1.0,"['presenting', 'problems']",[],"['presenting', 'problems']",VALID,False,True,False,False
relevant_issues,Relevant Medical Issues,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['relevant', 'issues'], 'invalid_tokens': [], 'tokens': ['relevant', 'issues']}",1.0,1.0,"['relevant', 'issues']",[],"['relevant', 'issues']",VALID,False,True,False,False
explain_txt1,"Explain (Include dates, means, rescue)","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.7, 'valid_tokens': ['explain'], 'invalid_tokens': ['txt1'], 'tokens': ['explain', 'txt1']}",0.5,0.7,['explain'],['txt1'],"['explain', 'txt1']",INVALID,False,True,False,False
explain_txt2,"Explain (Include dates, means, rescue)","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.7, 'valid_tokens': ['explain'], 'invalid_tokens': ['txt2'], 'tokens': ['explain', 'txt2']}",0.5,0.7,['explain'],['txt2'],"['explain', 'txt2']",INVALID,False,True,False,False
explain_txt3,"Explain (Include dates, means, rescue)","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.7, 'valid_tokens': ['explain'], 'invalid_tokens': ['txt3'], 'tokens': ['explain', 'txt3']}",0.5,0.7,['explain'],['txt3'],"['explain', 'txt3']",INVALID,False,True,False,False
explain_txt4,"Explain (Include dates, means, rescue)","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.7, 'valid_tokens': ['explain'], 'invalid_tokens': ['txt4'], 'tokens': ['explain', 'txt4']}",0.5,0.7,['explain'],['txt4'],"['explain', 'txt4']",INVALID,False,True,False,False
substance_use,"Substance use concerns, relevant history and/or treatment.","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['substance', 'use'], 'invalid_tokens': [], 'tokens': ['substance', 'use']}",1.0,1.0,"['substance', 'use']",[],"['substance', 'use']",VALID,False,True,False,False
if_other2,"If ""Other"", please describe:","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.2857, 'valid_tokens': ['if'], 'invalid_tokens': ['other2'], 'tokens': ['if', 'other2']}",0.5,0.2857,['if'],['other2'],"['if', 'other2']",INVALID,False,True,False,False
if_other3,"If ""Other"", please describe:","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.2857, 'valid_tokens': ['if'], 'invalid_tokens': ['other3'], 'tokens': ['if', 'other3']}",0.5,0.2857,['if'],['other3'],"['if', 'other3']",INVALID,False,True,False,False
if_other4,"If ""Other"", please describe:","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.2857, 'valid_tokens': ['if'], 'invalid_tokens': ['other4'], 'tokens': ['if', 'other4']}",0.5,0.2857,['if'],['other4'],"['if', 'other4']",INVALID,False,True,False,False
observations,Observations,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['observations'], 'invalid_tokens': [], 'tokens': ['observations']}",1.0,1.0,['observations'],[],['observations'],VALID,False,False,False,False
if_other5,"If ""Other"", please describe:","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.2857, 'valid_tokens': ['if'], 'invalid_tokens': ['other5'], 'tokens': ['if', 'other5']}",0.5,0.2857,['if'],['other5'],"['if', 'other5']",INVALID,False,True,False,False
if_other6,"If ""Other"", please describe:","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.2857, 'valid_tokens': ['if'], 'invalid_tokens': ['other6'], 'tokens': ['if', 'other6']}",0.5,0.2857,['if'],['other6'],"['if', 'other6']",INVALID,False,True,False,False
if_other7,"If ""Other"", please describe:","{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.2857, 'valid_tokens': ['if'], 'invalid_tokens': ['other7'], 'tokens': ['if', 'other7']}",0.5,0.2857,['if'],['other7'],"['if', 'other7']",INVALID,False,True,False,False
summary_response,Summary/Response of Intervention/Services,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['summary', 'response'], 'invalid_tokens': [], 'tokens': ['summary', 'response']}",1.0,1.0,"['summary', 'response']",[],"['summary', 'response']",VALID,False,True,False,False
justification,Justification for the diversion or hospital recommendation:,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['justification'], 'invalid_tokens': [], 'tokens': ['justification']}",1.0,1.0,['justification'],[],['justification'],VALID,False,False,False,False
Mental_Status_textbox,,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['mental', 'status', 'textbox'], 'invalid_tokens': [], 'tokens': ['mental', 'status', 'textbox']}",1.0,1.0,"['mental', 'status', 'textbox']",[],"['mental', 'status', 'textbox']",VALID,False,True,False,True
Interventions_textbox,,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['interventions', 'textbox'], 'invalid_tokens': [], 'tokens': ['interventions', 'textbox']}",1.0,1.0,"['interventions', 'textbox']",[],"['interventions', 'textbox']",VALID,False,True,False,True
Progress_toward_goals_textbox,,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['progress', 'toward', 'goals', 'textbox'], 'invalid_tokens': [], 'tokens': ['progress', 'toward', 'goals', 'textbox']}",1.0,1.0,"['progress', 'toward', 'goals', 'textbox']",[],"['progress', 'toward', 'goals', 'textbox']",VALID,False,True,False,True
Action_plan_textbox,,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['action', 'plan', 'textbox'], 'invalid_tokens': [], 'tokens': ['action', 'plan', 'textbox']}",1.0,1.0,"['action', 'plan', 'textbox']",[],"['action', 'plan', 'textbox']",VALID,False,True,False,True
goal,"GOAL FOR THIS SERVICE: Indicate a specific, observable and/or measurable goal(s) related to the client’s mental health needs.","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['goal'], 'invalid_tokens': [], 'tokens': ['goal']}",1.0,1.0,['goal'],[],['goal'],VALID,False,False,False,False
narrative,"SESSION NARRATIVE: Indicate medically necessary service(s) provided. If client/collateral present, also indicate participant(s) response to service(s).","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['narrative'], 'invalid_tokens': [], 'tokens': ['narrative']}",1.0,1.0,['narrative'],[],['narrative'],VALID,False,False,False,False
indvpresent,INDIVIDUALS PRESENT/CONTACTED:,"{'token_valid_ratio': 0.0, 'char_valid_ratio': 0.0, 'valid_tokens': [], 'invalid_tokens': ['indvpresent'], 'tokens': ['indvpresent']}",0.0,0.0,[],['indvpresent'],['indvpresent'],INVALID,False,False,False,False
clientprez,CLIENT PRESENTATION:,"{'token_valid_ratio': 0.0, 'char_valid_ratio': 0.0, 'valid_tokens': [], 'invalid_tokens': ['clientprez'], 'tokens': ['clientprez']}",0.0,0.0,[],['clientprez'],['clientprez'],INVALID,False,False,False,False
servicegoal,GOAL FOR THIS SERVICE:,"{'token_valid_ratio': 0.0, 'char_valid_ratio': 0.0, 'valid_tokens': [], 'invalid_tokens': ['servicegoal'], 'tokens': ['servicegoal']}",0.0,0.0,[],['servicegoal'],['servicegoal'],INVALID,False,False,False,False
functionalimpairments,FUNCTIONAL IMPAIRMENTS:,"{'token_valid_ratio': 0.0, 'char_valid_ratio': 0.0, 'valid_tokens': [], 'invalid_tokens': ['functionalimpairments'], 'tokens': ['functionalimpairments']}",0.0,0.0,[],['functionalimpairments'],['functionalimpairments'],INVALID,False,False,False,False
response,RESPONSE:,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
first_began,"When you first began services, you were (describe symptoms, housing, medical needs, family/social situations, etc.)","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['first', 'began'], 'invalid_tokens': [], 'tokens': ['first', 'began']}",1.0,1.0,"['first', 'began']",[],"['first', 'began']",VALID,False,True,False,False
goals_progress,Here are your goals and the progress you've made and some gains you've achieved.,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['goals', 'progress'], 'invalid_tokens': [], 'tokens': ['goals', 'progress']}",1.0,1.0,"['goals', 'progress']",[],"['goals', 'progress']",VALID,False,True,False,False
details_services,Details and Services at other agencies.,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['details', 'services'], 'invalid_tokens': [], 'tokens': ['details', 'services']}",1.0,1.0,"['details', 'services']",[],"['details', 'services']",VALID,False,True,False,False
presenting_issue,Presenting Issue,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['presenting', 'issue'], 'invalid_tokens': [], 'tokens': ['presenting', 'issue']}",1.0,1.0,"['presenting', 'issue']",[],"['presenting', 'issue']",VALID,False,True,False,False
additional_intervention,Additional Care Manager Intervention Provided During the Session,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['additional', 'intervention'], 'invalid_tokens': [], 'tokens': ['additional', 'intervention']}",1.0,1.0,"['additional', 'intervention']",[],"['additional', 'intervention']",VALID,False,True,False,False
response,Client response to interventions performed,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
progress_towards_goal,Progress towards goals,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['progress', 'towards', 'goal'], 'invalid_tokens': [], 'tokens': ['progress', 'towards', 'goal']}",1.0,1.0,"['progress', 'towards', 'goal']",[],"['progress', 'towards', 'goal']",VALID,False,True,False,False
additional_progress,Additional Progress towards goals to be addressed during the interim or at next session,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['additional', 'progress'], 'invalid_tokens': [], 'tokens': ['additional', 'progress']}",1.0,1.0,"['additional', 'progress']",[],"['additional', 'progress']",VALID,False,True,False,False
