field_key,field_title,field_type,field_key_exists_in_library_flag,row_id,missing_field_title,token_valid_ratio,invalid_tokens,token_validity_ratio_label,containment_title,matched_tokens,key_tokens,title_tokens,containment_title_label,cosine_sim,cosine_verdict,nli_axis,nli_axis_label,len_ratio,facet_hard_mismatch,facet_partial_mismatch,facet_missing_context,facet_hidden_agent,facet_temporal_mismatch,facet_token_validity_issues,facet_title_missing,semantic_severity,structural_severity,final_severity,reasons
fam_history,Family History (Biological Loading),textarea,False,34,False,1.0,[],VALID,0.25,['history'],"['fam', 'history']","['history', 'load', 'biological', 'family']",LOW,0.35696321725845337,LOW,0.48502496719426547,Weak Match,2.0,True,False,False,True,False,False,False,0.5775964553358156,1.0,0.8732789366007446,"hard_mismatch, hidden_agent"
reactions,Allergies/Adverse Reactions,textarea,False,35,False,1.0,[],VALID,0.3333,['reaction'],['reaction'],"['adverse', 'reaction', 'allergy']",LOW,0.35004034638404846,LOW,0.3697739788025369,Weak Match,3.0,True,False,False,False,False,False,False,0.5492742975559756,1.0,0.8647822892667927,hard_mismatch
med_history,Medical History,textarea,False,36,False,1.0,[],VALID,0.5,['history'],"['me', 'history']","['medical', 'history']",PARTIAL,0.5073608756065369,MEDIUM,0.685545804979741,Exact Match,1.0,False,False,False,False,False,False,False,0.7078720041758834,1.0,0.912361601252765,
current_meds,Current Medications,textarea,False,37,False,1.0,[],VALID,0.5,['current'],"['current', 'med']","['current', 'medication']",PARTIAL,0.7852568030357361,MEDIUM,0.7721140060167265,Exact Match,1.0,False,False,False,False,False,False,False,0.8172112427157388,1.0,0.9451633728147215,
contraceptive,LMP and Contraceptive Method,textarea,False,39,False,1.0,[],VALID,0.3333,['contraceptive'],['contraceptive'],"['method', 'lmp', 'contraceptive']",LOW,0.7005183100700378,MEDIUM,0.43190707930353195,Weak Match,3.0,False,True,False,False,False,False,False,0.6730576168120709,1.0,0.9019172850436212,partial_mismatch
height,Height and Weight:,textarea,False,41,False,1.0,[],VALID,0.5,['height'],['height'],"['weight', 'height']",PARTIAL,0.7663717865943909,MEDIUM,0.40050884544094467,Weak Match,2.0,False,False,True,False,False,False,False,0.7000641896106007,1.0,0.9100192568831802,missing_context
appearance,Appearance,textarea,False,43,False,1.0,[],VALID,1.0,['appearance'],['appearance'],['appearance'],HIGH,1.0,HIGH,0.5590020389978863,Weak Match,1.0,False,False,False,False,False,False,False,0.8677006116993659,1.0,0.9603101835098097,
eye_contact,Eye Contact,textarea,False,44,False,1.0,[],VALID,1.0,"['eye', 'contact']","['eye', 'contact']","['eye', 'contact']",HIGH,1.0,HIGH,0.6855967375155733,Exact Match,1.0,False,False,False,False,False,False,False,0.905679021254672,1.0,0.9717037063764016,
attention,Attention Span,textarea,False,45,False,1.0,[],VALID,0.5,['attention'],['attention'],"['span', 'attention']",PARTIAL,0.6857385635375977,MEDIUM,0.34710933576298225,Weak Match,2.0,False,False,True,False,False,False,False,0.659854369790174,1.0,0.8979563109370521,missing_context
psych_activity,Psychomotor Activity,textarea,False,46,False,1.0,[],VALID,0.5,['activity'],"['psych', 'activity']","['psychomotor', 'activity']",PARTIAL,0.6110462546348572,MEDIUM,0.29515982134643576,Weak Match,1.0,False,False,False,False,False,False,False,0.621861822794388,1.0,0.8865585468383164,
content,Thought Content,textarea,False,50,False,1.0,[],VALID,0.5,['content'],['content'],"['think', 'content']",PARTIAL,0.7197134494781494,MEDIUM,0.45264127644888047,Weak Match,2.0,False,False,True,False,False,False,False,0.701706417778109,1.0,0.9105119253334326,missing_context
mood,Mood,textarea,False,51,False,1.0,[],VALID,1.0,['mood'],['mood'],['mood'],HIGH,1.0000001192092896,HIGH,0.4440692221442519,Weak Match,1.0,False,False,False,False,False,False,False,0.8332208024060624,1.0,0.9499662407218187,
affect,Affect,textarea,False,52,False,1.0,[],VALID,1.0,['affect'],['affect'],['affect'],HIGH,1.0,HIGH,0.730962608722372,Exact Match,1.0,False,False,False,False,False,False,False,0.9192887826167114,1.0,0.9757866347850134,
associations,Associations,textarea,False,55,False,1.0,[],VALID,1.0,['association'],['association'],['association'],HIGH,1.0000001192092896,HIGH,0.565677081813906,Weak Match,1.0,False,False,False,False,False,False,False,0.8697031603069586,1.0,0.9609109480920875,
manner,Manner of Relating to Examiner,textarea,False,63,False,1.0,[],VALID,0.3333,['manner'],['manner'],"['manner', 'relate', 'examiner']",LOW,0.6910316348075867,MEDIUM,0.2548739637907717,Weak Match,3.0,False,True,False,False,False,False,False,0.6171016795795075,1.0,0.8851305038738522,partial_mismatch
therapy_recs,Therapeutic Recommendations,textarea,False,80,False,0.5,['recs'],INVALID,0.0,[],"['rec', 'therapy']","['recommendation', 'therapeutic']",LOW,0.5737561583518982,MEDIUM,0.5378591879020389,Weak Match,1.0,False,True,False,False,False,True,False,0.6334846038761811,0.5,0.5400453811628543,"partial_mismatch, token_validity_issues"
clin_interpretations,Clinical Interpretation,textarea,False,81,False,0.5,['clin'],INVALID,0.5,['interpretation'],"['clin', 'interpretation']","['clinical', 'interpretation']",PARTIAL,0.35161757469177246,LOW,0.41513244062731225,Weak Match,1.0,False,True,False,False,False,True,False,0.5800250045957255,0.5,0.5240075013787177,"partial_mismatch, token_validity_issues"
narrative,Narrative,textarea,False,82,False,1.0,[],VALID,1.0,['narrative'],['narrative'],['narrative'],HIGH,1.0,HIGH,0.4179504607687354,Weak Match,1.0,False,False,False,False,False,False,False,0.8253851382306207,1.0,0.9476155414691861,
information_text,New Salient Information provided by client/family:,textarea,False,83,False,1.0,[],VALID,0.1667,['information'],"['information', 'text']","['information', 'salient', 'provide', 'family', 'new', 'client']",LOW,0.296770840883255,LOW,0.0015860247857154008,Uncertain,3.0,True,False,False,True,False,False,False,0.4061770597006911,1.0,0.8218531179102073,"hard_mismatch, hidden_agent"
goals_text,Goal(s)/Objective(s) focused on in this session:,textarea,False,84,False,1.0,[],VALID,0.25,['goal'],"['goal', 'text']","['goal', 'objective', 'focused', 'session']",LOW,0.5032622814178467,MEDIUM,0.10416375933622941,Uncertain,2.0,False,True,False,False,True,False,False,0.5072278122262228,1.0,0.8521683436678668,"partial_mismatch, temporal_mismatch"
interventions_text,Interventions provided and client/family response:,textarea,False,85,False,1.0,[],VALID,0.2,['intervention'],"['intervention', 'text']","['provide', 'response', 'intervention', 'client', 'family']",LOW,0.5055602192878723,MEDIUM,-0.03739344904924946,Uncertain,2.5,False,True,False,True,False,False,False,0.4604500310715869,1.0,0.838135009321476,"partial_mismatch, hidden_agent"
therapeutic_text,Narrative Description,textarea,False,87,False,1.0,[],VALID,0.0,[],"['text', 'therapeutic']","['narrative', 'description']",LOW,0.27729499340057373,LOW,-0.4784200639287349,Strong Contradiction,1.0,True,False,False,False,False,False,False,0.23966247884155167,1.0,0.7718987436524655,hard_mismatch
progress_text, Description of progress/client response,textarea,False,89,False,1.0,[],VALID,0.25,['progress'],"['progress', 'text']","['progress', 'response', 'description', 'client']",LOW,0.6272678375244141,MEDIUM,0.3872236771712868,Weak Match,2.0,False,True,False,True,False,False,False,0.6293474544087102,1.0,0.888804236322613,"partial_mismatch, hidden_agent"
therapeutic_text,Narrative Description,textarea,False,90,False,1.0,[],VALID,0.0,[],"['text', 'therapeutic']","['narrative', 'description']",LOW,0.27729499340057373,LOW,-0.4784200639287349,Strong Contradiction,1.0,True,False,False,False,False,False,False,0.23966247884155167,1.0,0.7718987436524655,hard_mismatch
progress_text,Description of progress/client response,textarea,False,92,False,1.0,[],VALID,0.25,['progress'],"['progress', 'text']","['progress', 'response', 'description', 'client']",LOW,0.6272678375244141,MEDIUM,0.3872236771712868,Weak Match,2.0,False,True,False,True,False,False,False,0.6293474544087102,1.0,0.888804236322613,"partial_mismatch, hidden_agent"
info,Session Info,textarea,False,93,False,1.0,[],VALID,0.5,['information'],['information'],"['information', 'session']",PARTIAL,0.6182812452316284,MEDIUM,0.696607478946454,Exact Match,2.0,False,False,False,False,True,False,False,0.7444666172534248,1.0,0.9233399851760273,temporal_mismatch
description,Description,textarea,False,94,False,1.0,[],VALID,1.0,['description'],['description'],['description'],HIGH,1.0,HIGH,0.5106881388525633,Weak Match,1.0,False,False,False,False,False,False,False,0.8532064416557689,1.0,0.9559619324967306,
response,Response,textarea,False,96,False,1.0,[],VALID,1.0,['response'],['response'],['response'],HIGH,1.0,HIGH,0.4337319789906334,Weak Match,1.0,False,False,False,False,False,False,False,0.83011959369719,1.0,0.949035878109157,
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",textarea,False,98,False,1.0,[],VALID,0.0625,['focus'],['focus'],"['pattern', 'focus', 'growth', 'what', 'development', 'session', 'maladaptive', 'personality', 'encouragement', 'disturbance', 'change', 'reversal', 'behavior', 'emotional', 'ie', 'alleviation']",LOW,0.13475942611694336,LOW,0.19569478427555034,Uncertain,3.0,True,False,False,False,True,False,False,0.4053862631177481,1.0,0.8216158789353244,"hard_mismatch, temporal_mismatch"
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",textarea,False,100,False,1.0,[],VALID,0.0769,['response'],['response'],"['strength', 'make', 'reason', 'response', 'intervention', 'toward', 'barrier', 'progress', 'goal', 'if', 'client', 'not', 'describe']",LOW,0.2802562117576599,LOW,0.21383973451185248,Weak Match,3.0,True,False,False,True,False,False,False,0.4559187838808537,1.0,0.8367756351642561,"hard_mismatch, hidden_agent"
info,Session Objective/Notes,textarea,False,106,False,1.0,[],VALID,0.0,[],['information'],"['objective', 'session', 'note']",LOW,0.173714280128479,LOW,0.13789554949508884,Uncertain,3.0,True,False,False,False,True,False,False,0.3934829488870703,1.0,0.818044884666121,"hard_mismatch, temporal_mismatch"
summary_contact,Summary of Contact,textarea,False,107,False,1.0,[],VALID,1.0,"['contact', 'summary']","['contact', 'summary']","['contact', 'summary']",HIGH,1.0,HIGH,0.6678348694460885,Exact Match,1.0,False,False,False,False,False,False,False,0.9003504608338265,1.0,0.9701051382501479,
summary_text,"Summary: Goals, Objectives, Interventions Delivered & Consumer Response",textarea,False,108,False,1.0,[],VALID,0.1429,['summary'],"['summary', 'text']","['response', 'intervention', 'deliver', 'goal', 'objective', 'consumer', 'summary']",LOW,0.396928071975708,LOW,0.4629477660331501,Weak Match,3.0,True,False,False,True,False,False,False,0.5722527514026574,1.0,0.8716758254207971,"hard_mismatch, hidden_agent"
need,Need for or goal of intervention,textarea,False,109,False,1.0,[],VALID,0.3333,['need'],['need'],"['goal', 'intervention', 'need']",LOW,0.2890436053276062,LOW,0.5562479880091058,Weak Match,3.0,True,False,False,False,False,False,False,0.5869174780010136,1.0,0.8760752434003041,hard_mismatch
response,Response to Intervention,textarea,False,111,False,1.0,[],VALID,0.5,['response'],['response'],"['intervention', 'response']",PARTIAL,0.568101704120636,MEDIUM,0.5154228247648188,Weak Match,2.0,False,False,True,False,False,False,False,0.6750573586656364,1.0,0.9025172075996909,missing_context
sud_symptoms,Symptoms/Problems Status (incl. changes in Circumstances/Stressors),textarea,False,113,False,0.5,['sud'],INVALID,0.1429,['symptom'],"['symptom', 'sud']","['circumstance', 'status', 'symptom', 'stressor', 'change', 'problem', 'incl']",LOW,0.2268410474061966,LOW,-0.29655449769078057,Strong Contradiction,3.0,True,False,False,False,False,True,False,0.2933759649146248,0.5,0.43801278947438743,"hard_mismatch, token_validity_issues"
sud_interventions,Clinical Intervention(s)/Client Response(s)/Progress toward Goal(s),textarea,False,114,False,0.5,['sud'],INVALID,0.1429,['intervention'],"['intervention', 'sud']","['clinical', 'response', 'intervention', 'toward', 'progress', 'goal', 'client']",LOW,0.2834240794181824,LOW,-0.20092644965802436,Partial Contradiction,3.0,True,False,False,False,False,True,False,0.3390392889280474,0.5,0.4517117866784142,"hard_mismatch, token_validity_issues"
sud_plan,"Plan/Additional Information, if applicable?",textarea,False,115,False,0.5,['sud'],INVALID,0.2,['plan'],"['sud', 'plan']","['information', 'applicable', 'plan', 'if', 'additional']",LOW,0.4068959057331085,LOW,-0.3394809622717654,Strong Contradiction,2.5,True,False,False,False,False,True,False,0.3402244830384029,0.5,0.45206734491152084,"hard_mismatch, token_validity_issues"
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development?)",textarea,False,116,False,1.0,[],VALID,0.0625,['focus'],['focus'],"['pattern', 'focus', 'growth', 'what', 'development', 'session', 'maladaptive', 'personality', 'encouragement', 'disturbance', 'change', 'reversal', 'behavior', 'emotional', 'ie', 'alleviation']",LOW,0.13475942611694336,LOW,0.1922415950581634,Uncertain,3.0,True,False,False,False,True,False,False,0.404350306352532,1.0,0.8213050919057595,"hard_mismatch, temporal_mismatch"
response,"Describe the client's response to the intervention, progress made toward goals, and strengths. If progress is not being made, describe reasons and barriers to progress.",textarea,False,118,False,1.0,[],VALID,0.0769,['response'],['response'],"['strength', 'make', 'reason', 'response', 'intervention', 'toward', 'barrier', 'progress', 'goal', 'if', 'client', 'not', 'describe']",LOW,0.2802562117576599,LOW,0.17178821039287992,Uncertain,3.0,True,False,False,True,False,False,False,0.4433033266451619,1.0,0.8329909979935486,"hard_mismatch, hidden_agent"
lastservice,Plan from Last Service.,textarea,False,120,False,0.0,['lastservice'],INVALID,0.0,[],['lastservice'],"['last', 'service', 'plan']",LOW,0.5842757225036621,MEDIUM,0.4065014111089915,Weak Match,3.0,False,True,False,False,True,True,False,0.597233140083796,0.0,0.1791699420251388,"partial_mismatch, temporal_mismatch, token_validity_issues"
presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:",textarea,False,121,False,1.0,[],VALID,0.4,"['present', 'problem']","['present', 'problem']","['indicate', 'present', 'client', 'family', 'problem']",LOW,0.44201165437698364,MEDIUM,0.6396604307698782,Exact Match,2.5,False,True,False,True,False,False,False,0.6645016255440586,1.0,0.8993504876632175,"partial_mismatch, hidden_agent"
relevant_issues,Relevant Medical Issues,textarea,False,122,False,1.0,[],VALID,0.6667,"['relevant', 'issue']","['relevant', 'issue']","['medical', 'relevant', 'issue']",PARTIAL,0.6129539608955383,MEDIUM,0.6941677839490605,Exact Match,1.5,False,False,False,False,False,False,False,0.7588065234533796,1.0,0.9276419570360138,
explain_txt1,"Explain (Include dates, means, rescue)",textarea,False,127,False,0.5,['txt1'],INVALID,0.2,['explain'],"['txt1', 'explain']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,0.19918875396251678,LOW,-0.10230618379567372,Uncertain,2.5,True,False,False,False,True,True,False,0.34906477105005296,0.5,0.45471943131501585,"hard_mismatch, temporal_mismatch, token_validity_issues"
explain_txt2,"Explain (Include dates, means, rescue)",textarea,False,129,False,0.5,['txt2'],INVALID,0.2,['explain'],"['txt2', 'explain']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,0.17462435364723206,LOW,-0.13105133123062704,Uncertain,2.5,True,False,False,False,True,True,False,0.33307190672498155,0.5,0.44992157201749444,"hard_mismatch, temporal_mismatch, token_validity_issues"
explain_txt3,"Explain (Include dates, means, rescue)",textarea,False,132,False,0.5,['txt3'],INVALID,0.2,['explain'],"['explain', 'txt3']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,0.22296477854251862,LOW,-0.13289551633108956,Uncertain,2.5,True,False,False,False,True,True,False,0.34702077866342873,0.5,0.4541062335990286,"hard_mismatch, temporal_mismatch, token_validity_issues"
explain_txt4,"Explain (Include dates, means, rescue)",textarea,False,134,False,0.5,['txt4'],INVALID,0.2,['explain'],"['explain', 'txt4']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,0.20566712319850922,LOW,-0.1548248451577148,Partial Contradiction,2.5,True,False,False,False,False,True,False,0.33525268341223835,0.5,0.45057580502367145,"hard_mismatch, token_validity_issues"
substance_use,"Substance use concerns, relevant history and/or treatment.",textarea,False,137,False,1.0,[],VALID,0.3333,"['substance', 'use']","['substance', 'use']","['history', 'use', 'treatment', 'concern', 'substance', 'relevant']",LOW,0.6170869469642639,MEDIUM,0.5511562205380511,Weak Match,3.0,False,True,False,False,False,False,False,0.6838029502506945,1.0,0.9051408850752083,partial_mismatch
if_other2,"If ""Other"", please describe:",textarea,False,141,False,0.5,['other2'],INVALID,0.25,['if'],"['other2', 'if']","['please', 'other', 'if', 'describe']",LOW,0.3338039219379425,LOW,-0.08174756404218636,Uncertain,2.0,True,False,False,False,False,True,False,0.4006169073687269,0.5,0.47018507221061806,"hard_mismatch, token_validity_issues"
if_other3,"If ""Other"", please describe:",textarea,False,143,False,0.5,['other3'],INVALID,0.25,['if'],"['other3', 'if']","['please', 'other', 'if', 'describe']",LOW,0.29273107647895813,LOW,-0.05310324551495861,Uncertain,2.0,True,False,False,False,False,True,False,0.39688834928919986,0.5,0.46906650478675993,"hard_mismatch, token_validity_issues"
if_other4,"If ""Other"", please describe:",textarea,False,145,False,0.5,['other4'],INVALID,0.25,['if'],"['if', 'other4']","['please', 'other', 'if', 'describe']",LOW,0.2903519868850708,LOW,-0.08931391674214748,Uncertain,2.0,True,False,False,False,False,True,False,0.38531142104287697,0.5,0.46559342631286305,"hard_mismatch, token_validity_issues"
observations,Observations,textarea,False,146,False,1.0,[],VALID,1.0,['observation'],['observation'],['observation'],HIGH,1.0,HIGH,0.4937421132846334,Weak Match,1.0,False,False,False,False,False,False,False,0.8481226339853899,1.0,0.9544367901956169,
if_other5,"If ""Other"", please describe:",textarea,False,148,False,0.5,['other5'],INVALID,0.25,['if'],"['other5', 'if']","['please', 'other', 'if', 'describe']",LOW,0.29616010189056396,LOW,-0.05417173540364459,Uncertain,2.0,True,False,False,False,False,True,False,0.3975965099460758,0.5,0.4692789529838227,"hard_mismatch, token_validity_issues"
if_other6,"If ""Other"", please describe:",textarea,False,150,False,0.5,['other6'],INVALID,0.25,['if'],"['other6', 'if']","['please', 'other', 'if', 'describe']",LOW,0.2785128951072693,LOW,-0.11155518676403517,Uncertain,2.0,True,False,False,False,False,True,False,0.3750873125029702,0.5,0.46252619375089105,"hard_mismatch, token_validity_issues"
if_other7,"If ""Other"", please describe:",textarea,False,152,False,0.5,['other7'],INVALID,0.25,['if'],"['other7', 'if']","['please', 'other', 'if', 'describe']",LOW,0.23804500699043274,LOW,-0.05304605522003526,Uncertain,2.0,True,False,False,False,False,True,False,0.38049968553111924,0.5,0.4641499056593357,"hard_mismatch, token_validity_issues"
summary_response,Summary/Response of Intervention/Services,textarea,False,155,False,1.0,[],VALID,0.5,"['summary', 'response']","['summary', 'response']","['intervention', 'service', 'summary', 'response']",PARTIAL,0.6396320462226868,MEDIUM,0.20438316129575596,Weak Match,2.0,False,False,True,False,False,False,False,0.6032045622555329,1.0,0.8809613686766598,missing_context
justification,Justification for the diversion or hospital recommendation:,textarea,False,159,False,1.0,[],VALID,0.25,['justification'],['justification'],"['diversion', 'recommendation', 'hospital', 'justification']",LOW,0.2800118923187256,LOW,0.6144686680240984,Exact Match,3.0,True,False,False,False,False,False,False,0.5933441681028472,1.0,0.8780032504308541,hard_mismatch
Mental_Status_textbox,,textarea,False,168,True,1.0,[],VALID,0.0,[],"['status', 'textbox', 'mental']",['nan'],LOW,0.07817882299423218,LOW,-0.17918973345034253,Partial Contradiction,0.3333333333333333,True,False,False,False,False,False,True,0.2696967268631669,0.0,0.08090901805895008,"hard_mismatch, title_missing"
Interventions_textbox,,textarea,False,170,True,1.0,[],VALID,0.0,[],"['intervention', 'textbox']",['nan'],LOW,0.04265041649341583,LOW,-0.18589909678867858,Partial Contradiction,0.5,True,False,False,False,False,False,True,0.25702539591142115,0.0,0.07710761877342634,"hard_mismatch, title_missing"
Progress_toward_goals_textbox,,textarea,False,172,True,1.0,[],VALID,0.0,[],"['progress', 'textbox', 'toward', 'goal']",['nan'],LOW,0.030477352440357208,LOW,-0.15252470452402334,Partial Contradiction,0.25,True,False,False,False,False,False,True,0.2633857943749001,0.0,0.07901573831247004,"hard_mismatch, title_missing"
Action_plan_textbox,,textarea,False,174,True,1.0,[],VALID,0.0,[],"['action', 'plan', 'textbox']",['nan'],LOW,0.004082649480551481,LOW,-0.17785404817064035,Partial Contradiction,0.3333333333333333,True,False,False,False,False,False,True,0.24786858039297333,0.0,0.074360574117892,"hard_mismatch, title_missing"
