field_key,field_title,containment_title,matched_tokens,key_tokens,title_tokens,containment_title_label,field_type,field_key_exists_in_library_flag,missing_field_title
appearance,Appearance,1.0,['appearance'],['appearance'],['appearance'],HIGH,textarea,False,False
eye_contact,Eye Contact,1.0,"['eye', 'contact']","['eye', 'contact']","['eye', 'contact']",HIGH,textarea,False,False
attention,Attention Span,0.5,['attention'],['attention'],"['span', 'attention']",PARTIAL,textarea,False,False
psych_activity,Psychomotor Activity,0.5,['activity'],"['psych', 'activity']","['psychomotor', 'activity']",PARTIAL,textarea,False,False
content,Thought Content,0.5,['content'],['content'],"['think', 'content']",PARTIAL,textarea,False,False
mood,Mood,1.0,['mood'],['mood'],['mood'],HIGH,textarea,False,False
affect,Affect,1.0,['affect'],['affect'],['affect'],HIGH,textarea,False,False
associations,Associations,1.0,['association'],['association'],['association'],HIGH,textarea,False,False
manner,Manner of Relating to Examiner,0.3333,['manner'],['manner'],"['manner', 'relate', 'examiner']",LOW,textarea,False,False
therapy_recs,Therapeutic Recommendations,0.0,[],"['rec', 'therapy']","['recommendation', 'therapeutic']",LOW,textarea,False,False
clin_interpretations,Clinical Interpretation,0.5,['interpretation'],"['clin', 'interpretation']","['clinical', 'interpretation']",PARTIAL,textarea,False,False
narrative,Narrative,1.0,['narrative'],['narrative'],['narrative'],HIGH,textarea,False,False
information_text,New Salient Information provided by client/family:,0.1667,['information'],"['information', 'text']","['information', 'salient', 'provide', 'family', 'new', 'client']",LOW,textarea,False,False
goals_text,Goal(s)/Objective(s) focused on in this session:,0.25,['goal'],"['goal', 'text']","['goal', 'objective', 'focused', 'session']",LOW,textarea,False,False
interventions_text,Interventions provided and client/family response:,0.2,['intervention'],"['intervention', 'text']","['provide', 'response', 'intervention', 'client', 'family']",LOW,textarea,False,False
therapeutic_text,Narrative Description,0.0,[],"['text', 'therapeutic']","['narrative', 'description']",LOW,textarea,False,False
progress_text, Description of progress/client response,0.25,['progress'],"['progress', 'text']","['progress', 'response', 'description', 'client']",LOW,textarea,False,False
therapeutic_text,Narrative Description,0.0,[],"['text', 'therapeutic']","['narrative', 'description']",LOW,textarea,False,False
progress_text,Description of progress/client response,0.25,['progress'],"['progress', 'text']","['progress', 'response', 'description', 'client']",LOW,textarea,False,False
info,Session Info,0.5,['information'],['information'],"['information', 'session']",PARTIAL,textarea,False,False
description,Description,1.0,['description'],['description'],['description'],HIGH,textarea,False,False
response,Response,1.0,['response'],['response'],['response'],HIGH,textarea,False,False
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.0625,['focus'],['focus'],"['pattern', 'focus', 'growth', 'what', 'development', 'session', 'maladaptive', 'personality', 'encouragement', 'disturbance', 'change', 'reversal', 'behavior', 'emotional', 'ie', 'alleviation']",LOW,textarea,False,False
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.0769,['response'],['response'],"['strength', 'make', 'reason', 'response', 'intervention', 'toward', 'barrier', 'progress', 'goal', 'if', 'client', 'not', 'describe']",LOW,textarea,False,False
info,Session Objective/Notes,0.0,[],['information'],"['objective', 'session', 'note']",LOW,textarea,False,False
summary_contact,Summary of Contact,1.0,"['contact', 'summary']","['contact', 'summary']","['contact', 'summary']",HIGH,textarea,False,False
summary_text,"Summary: Goals, Objectives, Interventions Delivered & Consumer Response",0.1429,['summary'],"['summary', 'text']","['response', 'intervention', 'deliver', 'goal', 'objective', 'consumer', 'summary']",LOW,textarea,False,False
need,Need for or goal of intervention,0.3333,['need'],['need'],"['goal', 'intervention', 'need']",LOW,textarea,False,False
response,Response to Intervention,0.5,['response'],['response'],"['intervention', 'response']",PARTIAL,textarea,False,False
sud_symptoms,Symptoms/Problems Status (incl. changes in Circumstances/Stressors),0.1429,['symptom'],"['symptom', 'sud']","['circumstance', 'status', 'symptom', 'stressor', 'change', 'problem', 'incl']",LOW,textarea,False,False
sud_interventions,Clinical Intervention(s)/Client Response(s)/Progress toward Goal(s),0.1429,['intervention'],"['intervention', 'sud']","['clinical', 'response', 'intervention', 'toward', 'progress', 'goal', 'client']",LOW,textarea,False,False
sud_plan,"Plan/Additional Information, if applicable?",0.2,['plan'],"['sud', 'plan']","['information', 'applicable', 'plan', 'if', 'additional']",LOW,textarea,False,False
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development?)",0.0625,['focus'],['focus'],"['pattern', 'focus', 'growth', 'what', 'development', 'session', 'maladaptive', 'personality', 'encouragement', 'disturbance', 'change', 'reversal', 'behavior', 'emotional', 'ie', 'alleviation']",LOW,textarea,False,False
response,"Describe the client's response to the intervention, progress made toward goals, and strengths. If progress is not being made, describe reasons and barriers to progress.",0.0769,['response'],['response'],"['strength', 'make', 'reason', 'response', 'intervention', 'toward', 'barrier', 'progress', 'goal', 'if', 'client', 'not', 'describe']",LOW,textarea,False,False
lastservice,Plan from Last Service.,0.0,[],['lastservice'],"['last', 'service', 'plan']",LOW,textarea,False,False
presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:",0.4,"['present', 'problem']","['present', 'problem']","['indicate', 'present', 'client', 'family', 'problem']",LOW,textarea,False,False
relevant_issues,Relevant Medical Issues,0.6667,"['relevant', 'issue']","['relevant', 'issue']","['medical', 'relevant', 'issue']",PARTIAL,textarea,False,False
explain_txt1,"Explain (Include dates, means, rescue)",0.2,['explain'],"['txt1', 'explain']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,textarea,False,False
explain_txt2,"Explain (Include dates, means, rescue)",0.2,['explain'],"['txt2', 'explain']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,textarea,False,False
explain_txt3,"Explain (Include dates, means, rescue)",0.2,['explain'],"['explain', 'txt3']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,textarea,False,False
explain_txt4,"Explain (Include dates, means, rescue)",0.2,['explain'],"['explain', 'txt4']","['include', 'explain', 'mean', 'date', 'rescue']",LOW,textarea,False,False
substance_use,"Substance use concerns, relevant history and/or treatment.",0.3333,"['substance', 'use']","['substance', 'use']","['history', 'use', 'treatment', 'concern', 'substance', 'relevant']",LOW,textarea,False,False
if_other2,"If ""Other"", please describe:",0.25,['if'],"['other2', 'if']","['please', 'other', 'if', 'describe']",LOW,textarea,False,False
if_other3,"If ""Other"", please describe:",0.25,['if'],"['other3', 'if']","['please', 'other', 'if', 'describe']",LOW,textarea,False,False
if_other4,"If ""Other"", please describe:",0.25,['if'],"['if', 'other4']","['please', 'other', 'if', 'describe']",LOW,textarea,False,False
observations,Observations,1.0,['observation'],['observation'],['observation'],HIGH,textarea,False,False
if_other5,"If ""Other"", please describe:",0.25,['if'],"['other5', 'if']","['please', 'other', 'if', 'describe']",LOW,textarea,False,False
if_other6,"If ""Other"", please describe:",0.25,['if'],"['other6', 'if']","['please', 'other', 'if', 'describe']",LOW,textarea,False,False
if_other7,"If ""Other"", please describe:",0.25,['if'],"['other7', 'if']","['please', 'other', 'if', 'describe']",LOW,textarea,False,False
summary_response,Summary/Response of Intervention/Services,0.5,"['summary', 'response']","['summary', 'response']","['intervention', 'service', 'summary', 'response']",PARTIAL,textarea,False,False
justification,Justification for the diversion or hospital recommendation:,0.25,['justification'],['justification'],"['diversion', 'recommendation', 'hospital', 'justification']",LOW,textarea,False,False
Mental_Status_textbox,,0.0,[],"['status', 'textbox', 'mental']",['nan'],LOW,textarea,False,True
Interventions_textbox,,0.0,[],"['intervention', 'textbox']",['nan'],LOW,textarea,False,True
Progress_toward_goals_textbox,,0.0,[],"['progress', 'textbox', 'toward', 'goal']",['nan'],LOW,textarea,False,True
Action_plan_textbox,,0.0,[],"['action', 'plan', 'textbox']",['nan'],LOW,textarea,False,True
goal,"GOAL FOR THIS SERVICE: Indicate a specific, observable and/or measurable goal(s) related to the client’s mental health needs.",0.0909,['goal'],['goal'],"['specific', 'observable', 'indicate', 'health', 'measurable', 'need', 'goal', 'mental', 'client', 'service', 'relate']",LOW,textarea,False,False
narrative,"SESSION NARRATIVE: Indicate medically necessary service(s) provided. If client/collateral present, also indicate participant(s) response to service(s).",0.0714,['narrative'],['narrative'],"['indicate', 'collateral', 'provide', 'medically', 'response', 'session', 'narrative', 'if', 'present', 'also', 'client', 'participant', 'service', 'necessary']",LOW,textarea,False,False
indvpresent,INDIVIDUALS PRESENT/CONTACTED:,0.0,[],['indvpresent'],"['individual', 'present', 'contact']",LOW,textarea,False,False
clientprez,CLIENT PRESENTATION:,0.0,[],['clientprez'],"['presentation', 'client']",LOW,textarea,False,False
servicegoal,GOAL FOR THIS SERVICE:,0.0,[],['servicegoal'],"['goal', 'service']",LOW,textarea,False,False
functionalimpairments,FUNCTIONAL IMPAIRMENTS:,0.0,[],['functionalimpairment'],"['impairment', 'functional']",LOW,textarea,False,False
response,RESPONSE:,1.0,['response'],['response'],['response'],HIGH,textarea,False,False
first_began,"When you first began services, you were (describe symptoms, housing, medical needs, family/social situations, etc.)",0.1429,"['begin', 'first']","['begin', 'first']","['you', 'when', 'need', 'housing', 'situation', 'begin', 'medical', 'symptom', 'etc', 'family', 'social', 'service', 'first', 'describe']",LOW,textarea,False,False
goals_progress,Here are your goals and the progress you've made and some gains you've achieved.,0.2,"['goal', 'progress']","['goal', 'progress']","['you', 've', 'some', 'make', 'your', 'gain', 'goal', 'progress', 'here', 'achieve']",LOW,textarea,False,False
details_services,Details and Services at other agencies.,0.5,"['detail', 'service']","['detail', 'service']","['detail', 'other', 'agency', 'service']",PARTIAL,textarea,False,False
presenting_issue,Presenting Issue,1.0,"['present', 'issue']","['present', 'issue']","['present', 'issue']",HIGH,textarea,False,False
additional_intervention,Additional Care Manager Intervention Provided During the Session,0.2857,"['intervention', 'additional']","['intervention', 'additional']","['provide', 'intervention', 'during', 'session', 'manager', 'care', 'additional']",LOW,textarea,False,False
response,Client response to interventions performed,0.25,['response'],['response'],"['intervention', 'response', 'perform', 'client']",LOW,textarea,False,False
progress_towards_goal,Progress towards goals,1.0,"['progress', 'towards', 'goal']","['progress', 'towards', 'goal']","['progress', 'towards', 'goal']",HIGH,textarea,False,False
additional_progress,Additional Progress towards goals to be addressed during the interim or at next session,0.2222,"['progress', 'additional']","['progress', 'additional']","['next', 'towards', 'during', 'interim', 'session', 'address', 'progress', 'goal', 'additional']",LOW,textarea,False,False
focus_of_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.125,"['focus', 'session']","['focus', 'session']","['pattern', 'focus', 'growth', 'what', 'development', 'session', 'maladaptive', 'personality', 'encouragement', 'disturbance', 'change', 'reversal', 'behavior', 'emotional', 'ie', 'alleviation']",LOW,textarea,False,False
interventions_provided,Describe the interventions provided.,0.6667,"['intervention', 'provide']","['intervention', 'provide']","['intervention', 'describe', 'provide']",PARTIAL,textarea,False,False
clients_response_to_intervention,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.2308,"['intervention', 'client', 'response']","['intervention', 'response', 'client']","['strength', 'make', 'reason', 'response', 'intervention', 'toward', 'barrier', 'progress', 'goal', 'if', 'client', 'not', 'describe']",LOW,textarea,False,False
document_plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,0.2857,"['document', 'plan']","['document', 'plan']","['barrier', 'plan', 'document', 'if', 'there', 'overcome', 'describe']",LOW,textarea,False,False
desribe_reason_text,,0.0,[],"['text', 'desribe', 'reason']",['nan'],LOW,textarea,False,True
summary_intervention_text,,0.0,[],"['intervention', 'summary', 'text']",['nan'],LOW,textarea,False,True
summary_contact,Summary of Contact,1.0,"['contact', 'summary']","['contact', 'summary']","['contact', 'summary']",HIGH,textarea,False,False
description,"Description of COS Service, Future Plans and Recommendations",0.1667,['description'],['description'],"['recommendation', 'plan', 'future', ""'cos"", 'service', 'description']",LOW,textarea,False,False
narrative,סיכום פגישה,0.0,[],['narrative'],[],LOW,textarea,False,False
barriers,Barriers to progress:,0.5,['barrier'],['barrier'],"['progress', 'barrier']",PARTIAL,textarea,False,False
narrative,Narrative,1.0,['narrative'],['narrative'],['narrative'],HIGH,textarea,False,False
note_text,Note,1.0,['note'],"['text', 'note']",['note'],HIGH,textarea,False,False
note_text,Note,1.0,['note'],"['text', 'note']",['note'],HIGH,textarea,False,False
signature,Signature Field,0.5,['signature'],['signature'],"['signature', 'field']",PARTIAL,textarea,False,False
purpose_text,,0.0,[],"['purpose', 'text']",['nan'],LOW,textarea,False,True
activity_text,,0.0,[],"['text', 'activity']",['nan'],LOW,textarea,False,True
response_text,,0.0,[],"['text', 'response']",['nan'],LOW,textarea,False,True
overall_outcome_text,,0.0,[],"['overall', 'outcome', 'text']",['nan'],LOW,textarea,False,True
purpose_text,,0.0,[],"['purpose', 'text']",['nan'],LOW,textarea,False,True
activity_text,,0.0,[],"['text', 'activity']",['nan'],LOW,textarea,False,True
response_text,,0.0,[],"['text', 'response']",['nan'],LOW,textarea,False,True
overall_outcome_text,,0.0,[],"['overall', 'outcome', 'text']",['nan'],LOW,textarea,False,True
purpose_text,,0.0,[],"['purpose', 'text']",['nan'],LOW,textarea,False,True
activity_text,,0.0,[],"['text', 'activity']",['nan'],LOW,textarea,False,True
response_text,,0.0,[],"['text', 'response']",['nan'],LOW,textarea,False,True
overall_outcome_text,,0.0,[],"['overall', 'outcome', 'text']",['nan'],LOW,textarea,False,True
comments_text,Comments,1.0,['comment'],"['comment', 'text']",['comment'],HIGH,textarea,False,False
client_comments_text,Client Comments,1.0,"['comment', 'client']","['text', 'comment', 'client']","['comment', 'client']",HIGH,textarea,False,False
health_issues_text,Client Health Issues,0.6667,"['health', 'issue']","['health', 'issue', 'text']","['health', 'issue', 'client']",PARTIAL,textarea,False,False
sud_progress,"Movement toward treatment plan objectives by (include Individual's perception of services, supports and/or treatment and progress toward goals)",0.0833,['progress'],"['progress', 'sud']","['include', 'individual', 'perception', 'movement', 'toward', 'plan', 'progress', 'objective', 'goal', 'treatment', 'service', 'support']",LOW,textarea,False,False
sud_staff_intervention,"Staff intervention (i.e. modality, EBP, assignment of homework, etc.)",0.25,"['intervention', 'staff']","['intervention', 'sud', 'staff']","['intervention', 'modality', 'homework', 'etc', 'assignment', 'ebp', 'staff', 'ie']",LOW,textarea,False,False
sud_individual_response,Individual's Response to Intervention,0.6667,"['individual', 'response']","['individual', 'sud', 'response']","['intervention', 'individual', 'response']",PARTIAL,textarea,False,False
summary_text,,0.0,[],"['summary', 'text']",['nan'],LOW,textarea,False,True
narrative,Narration,0.0,[],['narrative'],['narration'],LOW,textarea,False,False
contact,"Collateral Contact (including all participants during the service - family, friends, Law enforcement, other staff): ",0.0769,['contact'],['contact'],"['contact', 'include', 'friend', 'all', 'collateral', 'enforcement', 'other', 'during', 'law', 'family', 'service', 'participant', 'staff']",LOW,textarea,False,False
response,Response to Treatment,0.5,['response'],['response'],"['treatment', 'response']",PARTIAL,textarea,False,False
focus," What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.0625,['focus'],['focus'],"['pattern', 'focus', 'growth', 'what', 'development', 'session', 'maladaptive', 'personality', 'encouragement', 'disturbance', 'change', 'reversal', 'behavior', 'emotional', 'ie', 'alleviation']",LOW,textarea,False,False
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.0769,['response'],['response'],"['strength', 'make', 'reason', 'response', 'intervention', 'toward', 'barrier', 'progress', 'goal', 'if', 'client', 'not', 'describe']",LOW,textarea,False,False
struggles,Identified Struggles,0.5,['struggle'],['struggle'],"['struggle', 'identify']",PARTIAL,textarea,False,False
group_progress,Group Progress Update,0.6667,"['progress', 'group']","['progress', 'group']","['progress', 'group', 'update']",PARTIAL,textarea,False,False
sleep,Sleep/Appetite,0.5,['sleep'],['sleep'],"['appetite', 'sleep']",PARTIAL,textarea,False,False
issues_text,Issues Addressed During Session,0.25,['issue'],"['issue', 'text']","['during', 'issue', 'session', 'address']",LOW,textarea,False,False
nextappt_text,Next Appointment Scheduled,0.0,[],"['nextappt', 'text']","['schedule', 'next', 'appointment']",LOW,textarea,False,False
group,Group Progress Update,0.3333,['group'],['group'],"['progress', 'group', 'update']",LOW,textarea,False,False
emotional,"Emotional, Behavioral or Cognitive Conditions and Complications",0.2,['emotional'],['emotional'],"['condition', 'cognitive', 'emotional', 'behavioral', 'complication']",LOW,textarea,False,False
relapse,Relapse/Continued Use Potential,0.25,['relapse'],['relapse'],"['relapse', 'potential', 'use', 'continue']",LOW,textarea,False,False
recovery,Recovery Environment,0.5,['recovery'],['recovery'],"['recovery', 'environment']",PARTIAL,textarea,False,False
sleep,Sleep/Appetite,0.5,['sleep'],['sleep'],"['appetite', 'sleep']",PARTIAL,textarea,False,False
Observations,Observations:,1.0,['observation'],['observation'],['observation'],HIGH,textarea,False,False
Updates,Updates:,1.0,['update'],['update'],['update'],HIGH,textarea,False,False
Response,Client Response to Interventions:,0.3333,['response'],['response'],"['intervention', 'response', 'client']",LOW,textarea,False,False
sessioncontent,Session Content,0.0,[],['sessioncontent'],"['content', 'session']",LOW,textarea,False,False
planrec,Plan/Recommendations,0.0,[],['planrec'],"['recommendation', 'plan']",LOW,textarea,False,False
treatment_provided,Treatment provided (Document treatment and client outcome during session):,0.2857,"['treatment', 'provide']","['provide', 'treatment']","['outcome', 'provide', 'during', 'session', 'document', 'treatment', 'client']",LOW,textarea,False,False
treatment_goals,Progress toward Treatment Goals (Document progress toward this treatment goal):,0.4,"['goal', 'treatment']","['goal', 'treatment']","['toward', 'progress', 'goal', 'document', 'treatment']",LOW,textarea,False,False
suicidal_ideation_text,Suicidal Ideation,1.0,"['suicidal', 'ideation']","['suicidal', 'ideation', 'text']","['suicidal', 'ideation']",HIGH,textarea,False,False
homicidal_ideation_text,Homicidal Ideation,1.0,"['ideation', 'homicidal']","['ideation', 'homicidal', 'text']","['ideation', 'homicidal']",HIGH,textarea,False,False
community_resources,Referral to Community Resources:,0.6667,"['community', 'resource']","['community', 'resource']","['referral', 'community', 'resource']",PARTIAL,textarea,False,False
contact_with_caregiver,Contact with Caregiver:,1.0,"['contact', 'caregiver']","['contact', 'caregiver']","['contact', 'caregiver']",HIGH,textarea,False,False
coordination_of_services_text,Coordination of Services,1.0,"['coordination', 'service']","['coordination', 'service', 'text']","['coordination', 'service']",HIGH,textarea,False,False
description_of_training,"Description of Training/Intervention: (ex. Supporting, demonstrating, engaging, role-playing, empowering)",0.2,"['training', 'description']","['training', 'description']","['ex', 'intervention', 'training', 'empower', 'demonstrate', 'role', 'engage', 'support', 'play', 'description']",LOW,textarea,False,False
narrative,Narrative,1.0,['narrative'],['narrative'],['narrative'],HIGH,textarea,False,False
focus_of_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.125,"['focus', 'session']","['focus', 'session']","['pattern', 'focus', 'growth', 'what', 'development', 'session', 'maladaptive', 'personality', 'encouragement', 'disturbance', 'change', 'reversal', 'behavior', 'emotional', 'ie', 'alleviation']",LOW,textarea,False,False
interventions_provided,Describe the interventions provided.,0.6667,"['intervention', 'provide']","['intervention', 'provide']","['intervention', 'describe', 'provide']",PARTIAL,textarea,False,False
clients_response_to_intervention,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.2308,"['intervention', 'client', 'response']","['intervention', 'response', 'client']","['strength', 'make', 'reason', 'response', 'intervention', 'toward', 'barrier', 'progress', 'goal', 'if', 'client', 'not', 'describe']",LOW,textarea,False,False
document_plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,0.2857,"['document', 'plan']","['document', 'plan']","['barrier', 'plan', 'document', 'if', 'there', 'overcome', 'describe']",LOW,textarea,False,False
reson_referral,Reason for Referral/Interval History,0.25,['referral'],"['referral', 'reson']","['referral', 'history', 'reason', 'interval']",LOW,textarea,False,False
intervention_text,Intervention,1.0,['intervention'],"['intervention', 'text']",['intervention'],HIGH,textarea,False,False
response_text,Response,1.0,['response'],"['text', 'response']",['response'],HIGH,textarea,False,False
problems_issues,"Specific problems(s), issue(s), behavior(s), skill deficits addressed:",0.1429,['issue'],"['problem', 'issue']","['specific', 'deficit', 'address', 'problemss', 'behavior', 'issue', 'skill']",LOW,textarea,False,False
mh_update,Update on client mental health status and significant life changes:,0.125,['update'],"['mh', 'update']","['health', 'significant', 'update', 'status', 'mental', 'change', 'client', 'life']",LOW,textarea,False,False
cm_efforts,Case Manager’s Efforts/Activities:,0.25,['effort'],"['cm', 'effort']","['case', 'manager', 'effort', 'activity']",LOW,textarea,False,False
specific_interventions,"Specific interventions provided by peer and targeted actions taken to support, assist, model, or mentor the family toward achieving the identified service plan goal/objective focused on during the session.",0.0909,"['specific', 'intervention']","['specific', 'intervention']","['focus', 'session', 'service', 'target', 'toward', 'peer', 'take', 'action', 'during', 'plan', 'goal', 'objective', 'family', 'achieve', 'support', 'model', 'specific', 'provide', 'intervention', 'assist', 'identify', 'mentor']",LOW,textarea,False,False
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",0.2222,"['progress', 'barrier']","['progress', 'barrier']","['make', 'barrier', 'it', 'progress', 'goal', 'objective', 'treatment', 'evidence', 'relate']",LOW,textarea,False,False
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service",0.3333,"['new', 'any', 'need']","['new', 'any', 'need']","['need', 'identify', 'during', 'session', 'goal', 'objective', 'new', 'service', 'any']",LOW,textarea,False,False
specific_interventions,Specific interventions provided by clinician and targeted actions taken to move the consumer toward achieving the identified service plan goal objective focused on during the session:,0.1053,"['specific', 'intervention']","['specific', 'intervention']","['focus', 'session', 'service', 'target', 'toward', 'consumer', 'clinician', 'take', 'action', 'during', 'plan', 'goal', 'objective', 'achieve', 'move', 'specific', 'provide', 'intervention', 'identify']",LOW,textarea,False,False
progress_barriers,"Progress, or barriers to progress, made in treatment as it relates to the goals and/or objectives, as evidenced by:",0.2222,"['progress', 'barrier']","['progress', 'barrier']","['make', 'barrier', 'it', 'progress', 'goal', 'objective', 'treatment', 'evidence', 'relate']",LOW,textarea,False,False
any_new_needs,"Any new needs, goals, and/or objectives identified during session or service:",0.3333,"['new', 'any', 'need']","['new', 'any', 'need']","['need', 'identify', 'during', 'session', 'goal', 'objective', 'new', 'service', 'any']",LOW,textarea,False,False
services_provided,Services Provided:,1.0,"['service', 'provide']","['service', 'provide']","['service', 'provide']",HIGH,textarea,False,False
client_response,Client response (and family if applicable) to session provided: Prompt client to restate to reflect learning:,0.1818,"['client', 'response']","['response', 'client']","['applicable', 'restate', 'learn', 'provide', 'response', 'reflect', 'session', 'if', 'client', 'prompt', 'family']",LOW,textarea,False,False
content_intervention_progress,Content / Intervention and Progress,1.0,"['intervention', 'content', 'progress']","['intervention', 'content', 'progress']","['intervention', 'content', 'progress']",HIGH,textarea,False,False
intervention_detail,Intervention Details,1.0,"['intervention', 'detail']","['intervention', 'detail']","['intervention', 'detail']",HIGH,textarea,False,False
intervention_details,Intervention Details,1.0,"['intervention', 'detail']","['intervention', 'detail']","['intervention', 'detail']",HIGH,textarea,False,False
plan_additional_information,Plan / Additional Information (Indicate action plan between sessions/meetings),0.375,"['information', 'additional', 'plan']","['information', 'additional', 'plan']","['information', 'indicate', 'meeting', 'action', 'plan', 'session', 'additional', 'between']",LOW,textarea,False,False
description_text,"Description of COS Service, Future Plans and Recommendations",0.1667,['description'],"['description', 'text']","['recommendation', 'plan', 'future', ""'cos"", 'service', 'description']",LOW,textarea,False,False
