report_class_id,organization_name,field_key,field_title,field_type,field_key_definition,row_id,field_key_exists_in_library_flag,structural_severity,semantic_severity,final_severity,reasons,normalized_field_key,validity_stats,token_valid_ratio,char_valid_ratio,valid_tokens,invalid_tokens,tokens,token_validity_ratio_label,containment_title,matched_tokens,key_tokens,title_tokens,containment_title_label,cosine_sim,cosine_verdict,nli_axis,nli_axis_label,len_ratio,facet_title_missing,facet_hard_mismatch,facet_partial_mismatch,facet_missing_context,facet_hidden_agent,facet_temporal_mismatch,facet_token_validity_issues
BarryCountyCMHAServiceNoteReport,Barry County CMHA,plan,Homework/Plan for Next Session,textarea,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them.",15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestPointCareCoordination,Best Point,observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",textarea,,16,False,1.0,0.8276522797073972,0.9482956839122191,partial_mismatch,observed reported mood affect behavior,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['observed', 'reported', 'mood', 'affect', 'behavior'], 'invalid_tokens': [], 'tokens': ['observed', 'reported', 'mood', 'affect', 'behavior']}",1.0,1.0,"['observed', 'reported', 'mood', 'affect', 'behavior']",[],"['observed', 'reported', 'mood', 'affect', 'behavior']",VALID,0.4545,"['report', 'mood', 'affect', 'behavior', 'observe']","['report', 'mood', 'affect', 'behavior', 'observe']","['function', 'etc', 'may', 'report', 'functioning', 'mood', 'cognitive', 'include', 'affect', 'behavior', 'observe']",LOW,0.8176648020744324,MEDIUM,0.7896761302835585,Exact Match,1.5,False,False,True,False,False,False,False
BestPointCareCoordination,Best Point,new_issues,New Issue(s) Presented Today,textarea,,17,False,1.0,0.7520445676191745,0.9256133702857523,temporal_mismatch,new issues,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['new', 'issues'], 'invalid_tokens': [], 'tokens': ['new', 'issues']}",1.0,1.0,"['new', 'issues']",[],"['new', 'issues']",VALID,0.5,"['new', 'issue']","['new', 'issue']","['new', 'today', 'issue', 'present']",PARTIAL,0.6611457467079163,MEDIUM,0.6790028120226653,Exact Match,1.5,False,False,False,False,False,True,False
BlackFamilyDevelopmentWraparoundReport,Gulf Coast Center,talked_about,What we talked about,textarea,,18,False,1.0,0.8442411045755208,0.9532723313726562,,talked about,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['talked', 'about'], 'invalid_tokens': [], 'tokens': ['talked', 'about']}",1.0,1.0,"['talked', 'about']",[],"['talked', 'about']",VALID,0.5,"['talk', 'about']","['talk', 'about']","['we', 'talk', 'about', 'what']",PARTIAL,0.7880964875221252,MEDIUM,0.8593738610629443,Exact Match,1.5,False,False,False,False,False,False,False
BrightHarborIndividualTherapyReport,All Points North,clinical_course,Clinical course of treatment including rationale for today's service,textarea,,22,False,1.0,0.6356316709075231,0.8906895012722569,"partial_mismatch, temporal_mismatch",clinical course,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['clinical', 'course'], 'invalid_tokens': [], 'tokens': ['clinical', 'course']}",1.0,1.0,"['clinical', 'course']",[],"['clinical', 'course']",VALID,0.2857,"['course', 'clinical']","['course', 'clinical']","['clinical', 'rationale', 'course', 'today', 'include', 'treatment', 'service']",LOW,0.6724672317504883,MEDIUM,0.3510716712745889,Weak Match,1.5,False,False,True,False,False,True,False
BrightHarborIndividualTherapyReport,All Points North,changes_consumer,Changes in the consumer's condition or situation,textarea,,23,False,1.0,0.7160688954169978,0.9148206686250993,missing_context,changes consumer,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['changes', 'consumer'], 'invalid_tokens': [], 'tokens': ['changes', 'consumer']}",1.0,1.0,"['changes', 'consumer']",[],"['changes', 'consumer']",VALID,0.5,"['change', 'consumer']","['change', 'consumer']","['condition', 'change', 'situation', 'consumer']",PARTIAL,0.6448283195495605,MEDIUM,0.5754013318404322,Weak Match,1.5,False,False,False,True,False,False,False
BrightHarborIndividualTherapyReport,All Points North,response,Current status and response to treatment,textarea,,24,False,1.0,0.5361674448340302,0.8608502334502091,hard_mismatch,response,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,0.25,['response'],['response'],"['status', 'treatment', 'current', 'response']",LOW,0.27944597601890564,LOW,0.424445506761195,Weak Match,1.5,False,True,False,False,False,False,False
BrightHarborIndividualTherapyReport,All Points North,plan,Plan,textarea,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them.",25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,psych_title,Psychiatric Evaluation,checkbox,,26,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,chief,Chief Complaint,textarea,,27,False,1.0,0.6429916591809058,0.8928974977542717,missing_context,chief,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['chief'], 'invalid_tokens': [], 'tokens': ['chief']}",1.0,1.0,['chief'],[],['chief'],VALID,0.5,['chief'],['chief'],"['complaint', 'chief']",PARTIAL,0.69097900390625,MEDIUM,0.2856598600301028,Weak Match,1.5,False,False,False,True,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,history,History of Present Illness (details if applicable),textarea,,28,False,1.0,0.5727519925313518,0.8718255977594055,hard_mismatch,history,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['history'], 'invalid_tokens': [], 'tokens': ['history']}",1.0,1.0,['history'],[],['history'],VALID,0.1667,['history'],['history'],"['applicable', 'detail', 'present', 'if', 'illness', 'history']",LOW,0.3180325925350189,LOW,0.535574049236154,Weak Match,1.5,False,True,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,textarea,,29,False,1.0,0.6815704355194842,0.9044711306558452,partial_mismatch,treatment history,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['treatment', 'history'], 'invalid_tokens': [], 'tokens': ['treatment', 'history']}",1.0,1.0,"['treatment', 'history']",[],"['treatment', 'history']",VALID,0.25,"['treatment', 'history']","['treatment', 'history']","['effect', 'their', 'past', 'medication', 'include', 'treatment', 'psychiatric', 'history']",LOW,0.6608029007911682,MEDIUM,0.5277652176071124,Weak Match,1.5,False,False,True,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,prev_meds,Medications Previously Tried (if any),textarea,,30,False,0.5,0.5009930846245505,0.5002979253873652,"partial_mismatch, token_validity_issues",prev meds,"{'token_valid_ratio': 0.5, 'char_valid_ratio': 0.5, 'valid_tokens': ['meds'], 'invalid_tokens': ['prev'], 'tokens': ['prev', 'meds']}",0.5,0.5,['meds'],['prev'],"['prev', 'meds']",INVALID,0.0,[],"['meds', 'prev']","['any', 'if', 'try', 'previously', 'medication']",LOW,0.42548665404319763,MEDIUM,0.2444902947053043,Weak Match,1.5,False,False,True,False,False,False,True
BrightHarborPsychiatricEvaluationReport,Bright Harbor,substance_abuse,Past and Current Substances Abuse,textarea,,31,False,1.0,0.8136302601241795,0.9440890780372537,,substance abuse,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['substance', 'abuse'], 'invalid_tokens': [], 'tokens': ['substance', 'abuse']}",1.0,1.0,"['substance', 'abuse']",[],"['substance', 'abuse']",VALID,0.5,"['substance', 'abuse']","['abuse', 'substance']","['abuse', 'current', 'substance', 'past']",PARTIAL,0.7517665028572083,MEDIUM,0.7936676975567236,Exact Match,1.5,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,child_development,Childhood Development (Children Only),textarea,,32,False,1.0,0.7736201683617877,0.9320860505085362,missing_context,child development,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['child', 'development'], 'invalid_tokens': [], 'tokens': ['child', 'development']}",1.0,1.0,"['child', 'development']",[],"['child', 'development']",VALID,0.5,"['development', 'child']","['development', 'child']","['childhood', 'only', 'development', 'child']",PARTIAL,0.8316179513931274,MEDIUM,0.5804492764794983,Weak Match,1.5,False,False,False,True,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,issues,Personal/Family/Social History/Legal Issues,textarea,,33,False,1.0,0.5483044659084665,0.8644913397725399,"hard_mismatch, hidden_agent",issues,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['issues'], 'invalid_tokens': [], 'tokens': ['issues']}",1.0,1.0,['issues'],[],['issues'],VALID,0.1667,['issue'],['issue'],"['legal', 'family', 'social', 'issue', 'personal', 'history']",LOW,0.2116122990846634,LOW,0.5605025872768918,Weak Match,1.5,False,True,False,False,True,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,fam_history,Family History (Biological Loading),textarea,,34,False,1.0,0.5241955121547112,0.8572586536464133,"hard_mismatch, hidden_agent",fam history,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['fam', 'history'], 'invalid_tokens': [], 'tokens': ['fam', 'history']}",1.0,1.0,"['fam', 'history']",[],"['fam', 'history']",VALID,0.25,['history'],"['history', 'fam']","['family', 'biological', 'loading', 'history']",LOW,0.17896035313606262,LOW,0.48502468737964105,Weak Match,1.5,False,True,False,False,True,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,reactions,Allergies/Adverse Reactions,textarea,,35,False,1.0,0.5465151206658115,0.8639545361997434,hard_mismatch,reactions,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['reactions'], 'invalid_tokens': [], 'tokens': ['reactions']}",1.0,1.0,['reactions'],[],['reactions'],VALID,0.3333,['reaction'],['reaction'],"['allergy', 'adverse', 'reaction']",LOW,0.3408433198928833,LOW,0.3697737489931553,Weak Match,1.5,False,True,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,med_history,Medical History,textarea,,36,False,1.0,0.8240072082408538,0.9472021624722561,,med history,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['med', 'history'], 'invalid_tokens': [], 'tokens': ['med', 'history']}",1.0,1.0,"['med', 'history']",[],"['med', 'history']",VALID,0.5,['history'],"['med', 'history']","['medical', 'history']",PARTIAL,0.8944777250289917,HIGH,0.685546302440521,Exact Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,current_meds,Current Medications,textarea,,37,False,1.0,0.8172111685291461,0.9451633505587438,,current meds,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['current', 'meds'], 'invalid_tokens': [], 'tokens': ['current', 'meds']}",1.0,1.0,"['current', 'meds']",[],"['current', 'meds']",VALID,0.5,['current'],"['current', 'med']","['current', 'medication']",PARTIAL,0.7852568030357361,MEDIUM,0.7721137587280839,Exact Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,pregnant,Pregnant?,radio,,38,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,contraceptive,LMP and Contraceptive Method,textarea,,39,False,1.0,0.6760858594005931,0.9028257578201779,partial_mismatch,contraceptive,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['contraceptive'], 'invalid_tokens': [], 'tokens': ['contraceptive']}",1.0,1.0,['contraceptive'],[],['contraceptive'],VALID,0.3333,['contraceptive'],['contraceptive'],"['method', 'contraceptive', 'lmp']",LOW,0.710612416267395,MEDIUM,0.4319071150679154,Weak Match,1.5,False,False,True,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,form_given,Physical Exam form given with a request for Primary Care Provider,radio,,40,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,height,Height and Weight:,textarea,,41,False,1.0,0.6999815227895833,0.909994456836875,missing_context,height,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['height'], 'invalid_tokens': [], 'tokens': ['height']}",1.0,1.0,['height'],[],['height'],VALID,0.5,['height'],['height'],"['height', 'weight']",PARTIAL,0.7660962343215942,MEDIUM,0.4005088416436833,Weak Match,1.5,False,False,False,True,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,men_stat_title,Psychiatric Evaluation Mental Status Exam,checkbox,,42,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,appearance,Appearance,textarea,,43,False,1.0,0.8677009172983071,0.9603102751894921,,appearance,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['appearance'], 'invalid_tokens': [], 'tokens': ['appearance']}",1.0,1.0,['appearance'],[],['appearance'],VALID,1.0,['appearance'],['appearance'],['appearance'],HIGH,1.0,HIGH,0.5590030576610242,Weak Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,eye_contact,Eye Contact,textarea,,44,False,1.0,0.9056790788623826,0.9717037236587147,,eye contact,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['eye', 'contact'], 'invalid_tokens': [], 'tokens': ['eye', 'contact']}",1.0,1.0,"['eye', 'contact']",[],"['eye', 'contact']",VALID,1.0,"['eye', 'contact']","['eye', 'contact']","['eye', 'contact']",HIGH,1.0,HIGH,0.6855969295412754,Exact Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,attention,Attention Span,textarea,,45,False,1.0,0.6598543032142723,0.8979562909642816,missing_context,attention,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['attention'], 'invalid_tokens': [], 'tokens': ['attention']}",1.0,1.0,['attention'],[],['attention'],VALID,0.5,['attention'],['attention'],"['span', 'attention']",PARTIAL,0.6857385039329529,MEDIUM,0.3471091734479547,Weak Match,1.5,False,False,False,True,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,psych_activity,Psychomotor Activity,textarea,,46,False,1.0,0.6540021261298169,0.896200637838945,,psych activity,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['psych', 'activity'], 'invalid_tokens': [], 'tokens': ['psych', 'activity']}",1.0,1.0,"['psych', 'activity']",[],"['psych', 'activity']",VALID,0.5,['activity'],"['activity', 'psych']","['activity', 'psychomotor']",PARTIAL,0.7181824445724487,MEDIUM,0.2951579758602743,Weak Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,orientation,Orientation,checkbox,,47,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,st_memory,Short-term memory,radio,,48,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,lt_memory,Long-term memory,radio,,49,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,content,Thought Content,textarea,,50,False,1.0,0.6957407115814305,0.908722213474429,missing_context,content,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['content'], 'invalid_tokens': [], 'tokens': ['content']}",1.0,1.0,['content'],[],['content'],VALID,0.5,['content'],['content'],"['thought', 'content']",PARTIAL,0.6998285055160522,MEDIUM,0.45264053308871605,Weak Match,1.5,False,False,False,True,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,mood,Mood,textarea,,51,False,1.0,0.8332208121277144,0.9499662436383143,,mood,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['mood'], 'invalid_tokens': [], 'tokens': ['mood']}",1.0,1.0,['mood'],[],['mood'],VALID,1.0,['mood'],['mood'],['mood'],HIGH,1.0,HIGH,0.44406937375904804,Weak Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,affect,Affect,textarea,,52,False,1.0,0.9192889462376029,0.9757866838712808,,affect,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['affect'], 'invalid_tokens': [], 'tokens': ['affect']}",1.0,1.0,['affect'],[],['affect'],VALID,1.0,['affect'],['affect'],['affect'],HIGH,1.0,HIGH,0.7309631541253435,Exact Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,cog_function,Cognitive Functioning,radio,,53,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,knowledge,Knowledge,radio,,54,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,associations,Associations,textarea,,55,False,1.0,0.869703247967552,0.9609109743902655,,associations,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['associations'], 'invalid_tokens': [], 'tokens': ['associations']}",1.0,1.0,['associations'],[],['associations'],VALID,1.0,['association'],['association'],['association'],HIGH,1.0,HIGH,0.5656774932251735,Weak Match,1.0,False,False,False,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,speech,Speech,radio,,56,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,insight,Insight,radio,,57,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,judgement,Judgement:,radio,,58,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,audio_hallucination,Audio Hallucination,radio,,59,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,visual_hallucination,Visual Hallucination,radio,,60,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,gait,Gait Station Normal,radio,,61,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,vitals,Vitals Review,radio,,62,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,manner,Manner of Relating to Examiner,textarea,,63,False,1.0,0.5687675441325147,0.8706302632397543,partial_mismatch,manner,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['manner'], 'invalid_tokens': [], 'tokens': ['manner']}",1.0,1.0,['manner'],[],['manner'],VALID,0.3333,['manner'],['manner'],"['relate', 'examiner', 'manner']",LOW,0.5299184918403625,MEDIUM,0.25487332193468676,Weak Match,1.5,False,False,True,False,False,False,False
BrightHarborPsychiatricEvaluationReport,Bright Harbor,past_title,Risk Profile Past Behavior,checkbox,,64,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,homicidal,Homicidal,radio,,65,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,suicidal,Suicidal,radio,,66,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,assaultive,Assaultive,radio,,67,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,past_substance_abuse,Substance Abuse,radio,,68,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,past_organicity,Organicity,radio,,69,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,present_title,Risk Profile Present Behavior,checkbox,,70,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,curr_homicidal,Homicidal,radio,,71,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,curr_suicidal,Suicidal,radio,,72,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,curr_assaultive,Assaultive,radio,,73,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,curr_substance_abuse,Substance Abuse,radio,,74,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,curr_organicity,Organicity,radio,,75,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightHarborPsychiatricEvaluationReport,Bright Harbor,fam_hist_title,Family History,checkbox,,76,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
