report_class_id,field_key,field_title,field_type,field_key exists in field_key_library?,field_key_definition
BrightHarborPsychiatricEvaluationReport,fam_history,Family History (Biological Loading),textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,reactions,Allergies/Adverse Reactions,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,med_history,Medical History,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,current_meds,Current Medications,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,pregnant,Pregnant?,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,contraceptive,LMP and Contraceptive Method,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,form_given,Physical Exam form given with a request for Primary Care Provider,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,height,Height and Weight:,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,men_stat_title,Psychiatric Evaluation Mental Status Exam,checkbox,FALSE,
BrightHarborPsychiatricEvaluationReport,appearance,Appearance,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,eye_contact,Eye Contact,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,attention,Attention Span,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,psych_activity,Psychomotor Activity,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,orientation,Orientation,checkbox,FALSE,
BrightHarborPsychiatricEvaluationReport,st_memory,Short-term memory,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,lt_memory,Long-term memory,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,content,Thought Content,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,mood,Mood,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,affect,Affect,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,cog_function,Cognitive Functioning,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,knowledge,Knowledge,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,associations,Associations,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,speech,Speech,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,insight,Insight,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,judgement,Judgement:,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,audio_hallucination,Audio Hallucination,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,visual_hallucination,Visual Hallucination,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,gait,Gait Station Normal,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,vitals,Vitals Review,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,manner,Manner of Relating to Examiner,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,past_title,Risk Profile Past Behavior,checkbox,FALSE,
BrightHarborPsychiatricEvaluationReport,homicidal,Homicidal,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,suicidal,Suicidal,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,assaultive,Assaultive,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,past_substance_abuse,Substance Abuse,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,past_organicity,Organicity,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,present_title,Risk Profile Present Behavior,checkbox,FALSE,
BrightHarborPsychiatricEvaluationReport,curr_homicidal,Homicidal,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,curr_suicidal,Suicidal,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,curr_assaultive,Assaultive,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,curr_substance_abuse,Substance Abuse,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,curr_organicity,Organicity,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,fam_hist_title,Family History,checkbox,FALSE,
BrightHarborPsychiatricEvaluationReport,fam_homicidal,Homicidal,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,fam_suicidal,Suicidal,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,fam_assaultive,Assaultive,radio,FALSE,
BrightHarborPsychiatricEvaluationReport,therapy_recs,Therapeutic Recommendations,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,clin_interpretations,Clinical Interpretation,textarea,FALSE,
BuckEyeNonBillableReport,narrative,Narrative,textarea,FALSE,
CarePlusNJTherapyInternReport,information_text,New Salient Information provided by client/family:,textarea,FALSE,
CarePlusNJTherapyInternReport,goals_text,Goal(s)/Objective(s) focused on in this session:,textarea,FALSE,
CarePlusNJTherapyInternReport,interventions_text,Interventions provided and client/family response:,textarea,FALSE,
CarePlusNJTherapyInternReport,plan_text,Plan for Continuing Work/Care Coord/Follow-Up,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills."
CCCGeneralCPRCNoteReport,therapeutic_text,Narrative Description,textarea,FALSE,
CCCGeneralCPRCNoteReport,progress_radio,Rating of progress towards goal,radio,FALSE,
CCCGeneralCPRCNoteReport,progress_text, Description of progress/client response,textarea,FALSE,
CCCTherapyNoteReport,therapeutic_text,Narrative Description,textarea,FALSE,
CCCTherapyNoteReport,progress_radio,Rating of progress towards goal,radio,FALSE,
CCCTherapyNoteReport,progress_text,Description of progress/client response,textarea,FALSE,
CCNYsimpleReport,info,Session Info,textarea,FALSE,
CCSWWGeneralReport,description,Description,textarea,FALSE,
CCSWWGeneralReport,assessment,Assessment/Clinical Impression,textarea,TRUE,"This field captures the thorough analysis or evaluation of a client's mental and emotional state, as observed by the therapist during the session. This often includes, but is not limited to, the client's emotional responses, mood states, behavioral patterns, coping mechanisms, and relational dynamics. It may also touch upon life transitions or events impacting the client's well-being, as well as the client's recognition and management of their emotional health. It may also include screening and/or assessment results from evaluations conducted and self report tools.."
CCSWWGeneralReport,response,Response,textarea,FALSE,
CCSWWGeneralReport,plan,Plan,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
CenclearReport,focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",textarea,FALSE,
CenclearReport,interventions,Describe the interventions provided.,textarea,TRUE,"The Field ‘interventions' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
CenclearReport,response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",textarea,FALSE,
CenclearReport,plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
CenterstoneFLOutpatientProgressNote,notes_field,Notes Field,textarea,TRUE,"The 'notes_field' refers to a detailed log of interactions in the context of Early Childhood Intervention (ECI) services. It encompasses information about the child and their family, the service providers involved, the nature and purpose of the interaction, and the method and location of communication. The notes summarize the discussions held, progress made, changes in the child's condition, and any new needs identified. They also outline the goals or procedures developed to meet these needs and any necessary follow-up actions. Additionally, the field records information about transition plans, including discussions about eligibility for other services, consent obtained for referrals, and next steps in the process. It also includes reasons for any missed appointments and efforts to reschedule them. This comprehensive documentation helps maintain continuity of care and ensures that each child's needs are being effectively addressed."
CenterstoneINBlankProgressNote,interventions,Interventions,textarea,TRUE,"The Field ‘interventions' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
CenterstoneINEngagementNote,interventions,Interventions/Additional Remarks,textarea,TRUE,"The Field ‘interventions' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
CenterstoneINTherapyNote,interventions,Interventions,textarea,TRUE,"The Field ‘interventions' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
ChcindividualReport,info,Session Objective/Notes,textarea,FALSE,
CNSNBContactNote,summary_contact,Summary of Contact,textarea,FALSE,
CNSProgressNoteReport,summary_text,"Summary: Goals, Objectives, Interventions Delivered & Consumer Response",textarea,FALSE,
CodacNirpReport,need,Need for or goal of intervention,textarea,FALSE,
CodacNirpReport,intervention,Intervention,textarea,TRUE,"The Field ‘intervention' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
CodacNirpReport,response,Response to Intervention,textarea,FALSE,
CodacNirpReport,plan,Plan,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
ColumbianaSUDIndivreport,sud_symptoms,Symptoms/Problems Status (incl. changes in Circumstances/Stressors),textarea,FALSE,
ColumbianaSUDIndivreport,sud_interventions,Clinical Intervention(s)/Client Response(s)/Progress toward Goal(s),textarea,FALSE,
ColumbianaSUDIndivreport,sud_plan,"Plan/Additional Information, if applicable?",textarea,FALSE,
ComprehensiveHCIndividualReport,focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development?)",textarea,FALSE,
ComprehensiveHCIndividualReport,interventions,Describe the interventions provided.,textarea,TRUE,"The Field ‘interventions' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
ComprehensiveHCIndividualReport,response,"Describe the client's response to the intervention, progress made toward goals, and strengths. If progress is not being made, describe reasons and barriers to progress.",textarea,FALSE,
ComprehensiveHCIndividualReport,plan,"Document the plan. If there were barriers, describe the plan to overcome the barriers.",textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
ComprehensiveHCIndividualReport,lastservice,Plan from Last Service.,textarea,FALSE,
CrosswindsCrisisQMHPReport,presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:",textarea,FALSE,
CrosswindsCrisisQMHPReport,relevant_issues,Relevant Medical Issues,textarea,FALSE,
CrosswindsCrisisQMHPReport,goal_service,Goal of Service,radio,FALSE,
CrosswindsCrisisQMHPReport,danger_title1,Danger to Self,checkbox,FALSE,
CrosswindsCrisisQMHPReport,danger_title2,Danger to Self,checkbox,FALSE,
CrosswindsCrisisQMHPReport,current_danger,Current Danger to Self,checkbox,FALSE,
CrosswindsCrisisQMHPReport,explain_txt1,"Explain (Include dates, means, rescue)",textarea,FALSE,
CrosswindsCrisisQMHPReport,history_danger,History of Danger to Self,checkbox,FALSE,
CrosswindsCrisisQMHPReport,explain_txt2,"Explain (Include dates, means, rescue)",textarea,FALSE,
CrosswindsCrisisQMHPReport,dangerothers_title,Danger to Others,checkbox,FALSE,
CrosswindsCrisisQMHPReport,current_others,Current Danger to Others,checkbox,FALSE,
CrosswindsCrisisQMHPReport,explain_txt3,"Explain (Include dates, means, rescue)",textarea,FALSE,
CrosswindsCrisisQMHPReport,history_others,History of Danger to Others,checkbox,FALSE,
CrosswindsCrisisQMHPReport,explain_txt4,"Explain (Include dates, means, rescue)",textarea,FALSE,
CrosswindsCrisisQMHPReport,sud_title1,SUD,checkbox,FALSE,
CrosswindsCrisisQMHPReport,sud_title2,SUD,checkbox,FALSE,
CrosswindsCrisisQMHPReport,substance_use,"Substance use concerns, relevant history and/or treatment.",textarea,FALSE,
CrosswindsCrisisQMHPReport,observation_title1,Observation of Client Functioning,checkbox,FALSE,
CrosswindsCrisisQMHPReport,observation_title2,Observation of Client Functioning,checkbox,FALSE,
CrosswindsCrisisQMHPReport,general_appearance,General Appearance,radio,FALSE,
CrosswindsCrisisQMHPReport,if_other2,"If ""Other"", please describe:",textarea,FALSE,
CrosswindsCrisisQMHPReport,mood,Mood,checkbox,FALSE,
CrosswindsCrisisQMHPReport,if_other3,"If ""Other"", please describe:",textarea,FALSE,
CrosswindsCrisisQMHPReport,affect,Affect,checkbox,FALSE,
CrosswindsCrisisQMHPReport,if_other4,"If ""Other"", please describe:",textarea,FALSE,
CrosswindsCrisisQMHPReport,observations,Observations,textarea,FALSE,
CrosswindsCrisisQMHPReport,orientation,Orientation,checkbox,FALSE,
CrosswindsCrisisQMHPReport,if_other5,"If ""Other"", please describe:",textarea,FALSE,
CrosswindsCrisisQMHPReport,thought_process,Thought Process/Content,checkbox,FALSE,
CrosswindsCrisisQMHPReport,if_other6,"If ""Other"", please describe:",textarea,FALSE,
CrosswindsCrisisQMHPReport,hallucinations,Hallucinations,checkbox,FALSE,
CrosswindsCrisisQMHPReport,if_other7,"If ""Other"", please describe:",textarea,FALSE,
CrosswindsCrisisQMHPReport,intervention_title1,Intervention/Summary of Services,checkbox,FALSE,
CrosswindsCrisisQMHPReport,summary_title2,Summary of Services,checkbox,FALSE,
CrosswindsCrisisQMHPReport,summary_response,Summary/Response of Intervention/Services,textarea,FALSE,
CrosswindsCrisisQMHPReport,recommendation_title1,Recommendation,checkbox,FALSE,
CrosswindsCrisisQMHPReport,recommendation_title2,Recommendation,checkbox,FALSE,
CrosswindsCrisisQMHPReport,recommendation_radio,Recommendation,radio,FALSE,
CrosswindsCrisisQMHPReport,justification,Justification for the diversion or hospital recommendation:,textarea,FALSE,
CsgReport,data,Data/Goal:,textarea,TRUE,"The Field ‘data' contains the main topics covered in the session. This field is like a summary of the session and can cover a wide array of topics, but should focus primarily on the topics discussed, and less on things outside the session such as planning and homework. Most likely will contain the topics brought up by the client, interactions between therapist and client, client’s state and treatment goals."
CsgReport,intervention_response,Intervention/Response,textarea,TRUE,The 'intervention_response' field serves as a documentation of both the intervention conducted by the therapist during the session and the subsequent response from the client. This personalized intervention is tailored to address the client's current situation and align with their treatment goals. It functions as a comprehensive record of the therapeutic actions undertaken within the session.
CsgReport,assessment,Assessment/Level of Participation:,textarea,TRUE,"This field captures the thorough analysis or evaluation of a client's mental and emotional state, as observed by the therapist during the session. This often includes, but is not limited to, the client's emotional responses, mood states, behavioral patterns, coping mechanisms, and relational dynamics. It may also touch upon life transitions or events impacting the client's well-being, as well as the client's recognition and management of their emotional health. It may also include screening and/or assessment results from evaluations conducted and self report tools.."
CsgReport,suicidal_ideation,Suicidal Ideation Present:,dropdown,FALSE,
CsgReport,homicidal_ideation,Homicidal Ideation Present:,dropdown,FALSE,
CsgReport,safety_concerns,Safety Concerns Present:,dropdown,FALSE,
CsgReport,plan,Plan:,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
CSOOPIndividualTherapyReport,Mental_Status_title,,checkbox,FALSE,
CSOOPIndividualTherapyReport,Mental_Status_textbox,,textarea,FALSE,
CSOOPIndividualTherapyReport,Interventions_title,,checkbox,FALSE,
CSOOPIndividualTherapyReport,Interventions_textbox,,textarea,FALSE,
CSOOPIndividualTherapyReport,Progress_toward_goals_title,,checkbox,FALSE,
CSOOPIndividualTherapyReport,Progress_toward_goals_textbox,,textarea,FALSE,
CSOOPIndividualTherapyReport,Action_plan_title,,checkbox,FALSE,
CSOOPIndividualTherapyReport,Action_plan_textbox,,textarea,FALSE,
DidiHirschProgressReport,goaltitle,"GOAL FOR THIS SERVICE: Indicate a specific, observable and/or measurable goal(s) related to the client’s mental health needs.",checkbox,FALSE,
DidiHirschProgressReport,goal,"GOAL FOR THIS SERVICE: Indicate a specific, observable and/or measurable goal(s) related to the client’s mental health needs.",textarea,FALSE,
DidiHirschProgressReport,narrativetitle,"SESSION NARRATIVE: Indicate medically necessary service(s) provided. If client/collateral present, also indicate participant(s) response to service(s).",checkbox,FALSE,
DidiHirschProgressReport,narrative,"SESSION NARRATIVE: Indicate medically necessary service(s) provided. If client/collateral present, also indicate participant(s) response to service(s).",textarea,FALSE,
DidiHirschProgressReport,plantitle,PLAN FOR SUBSEQUENT SERVICES: Indicate activities ensuring the active participation of client and/or collaterals to achieve treatment goals prior to next session. Identify a course of action to respond to the client needs identified in session and/or other clinical documents.,checkbox,FALSE,
DidiHirschProgressReport,plan,PLAN FOR SUBSEQUENT SERVICES: Indicate activities ensuring the active participation of client and/or collaterals to achieve treatment goals prior to next session. Identify a course of action to respond to the client needs identified in session and/or other clinical documents.,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
DidiHirschSAPCReport,indvpresent,INDIVIDUALS PRESENT/CONTACTED:,textarea,FALSE,
DidiHirschSAPCReport,clientprez,CLIENT PRESENTATION:,textarea,FALSE,
DidiHirschSAPCReport,servicegoal,GOAL FOR THIS SERVICE:,textarea,FALSE,
DidiHirschSAPCReport,functionalimpairments,FUNCTIONAL IMPAIRMENTS:,textarea,FALSE,
DidiHirschSAPCReport,interventions,INTERVENTIONS:,textarea,TRUE,"The Field ‘interventions' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
DidiHirschSAPCReport,response,RESPONSE:,textarea,FALSE,
